ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/22/2021 - 15,0.2,"1,773.6",425.2,73.3,"5,507.3",20.9,-0.2,0.3,616.1,"1,073.0",1.7,0.1,0.2,84.5,5.0,0.0,0.7,0.2,1.0,0.1,-0.1,7.0,0.4,0.0,0.0,0.2,8.0,0.2,0.1
12/06/2021 - 17,0.2,"2,097.8",748.2,169.6,"6,545.8",37.3,0.3,0.4,750.0,"1,587.7",3.9,0.1,0.4,"1,241.6",44.5,0.3,0.5,0.4,2.7,0.1,-0.1,10.2,0.3,0.0,0.0,0.2,13.7,0.5,0.1
09/02/2020 - 67,0.0,"1,009.9",401.6,27.8,"3,650.5",22.1,-0.3,0.3,701.4,"1,177.0",0.9,-0.1,0.4,"12,269.0",709.7,1.1,0.6,0.1,0.3,0.3,0.0,8.1,0.4,0.0,0.0,0.1,45.7,0.2,0.1
10/05/2020 - 17,0.2,"1,599.8",386.6,78.8,"5,214.0",16.8,-0.3,0.2,558.1,981.0,1.5,-0.2,0.2,97.5,4.2,0.0,0.1,0.2,0.6,0.0,-0.2,6.4,0.1,0.0,0.0,0.1,8.2,0.2,0.0
10/05/2020 - 18,0.1,"1,586.4",383.2,13.2,"5,189.8",15.0,-0.3,0.2,531.2,959.9,0.8,-0.3,0.2,34.9,0.7,0.0,0.1,0.1,14.2,0.0,-0.2,6.4,0.1,0.0,0.0,0.1,7.7,0.2,0.0
11/02/2020 - 15,0.3,"1,287.1",396.4,468.0,"4,754.0",27.2,-0.2,0.2,660.9,894.1,5.9,0.1,0.7,445.7,20.9,0.2,0.7,0.7,1.8,0.0,-0.1,6.0,0.1,0.0,0.0,0.1,11.4,0.7,0.0
03/1720/22 - 15,0.2,"1,624.0",386.6,49.9,"4,999.1",15.9,0.1,0.2,448.4,999.1,1.0,-0.2,0.4,55.8,1.5,0.0,0.1,0.1,1.5,0.0,-0.1,6.3,0.1,0.0,0.0,0.1,6.7,0.3,0.0
03/17/2022 - 17,0.2,"1,550.2",497.9,163.7,"5,215.2",22.4,0.5,0.2,428.2,"1,069.1",2.7,0.0,0.4,552.7,15.4,0.2,0.3,0.2,1.7,0.0,-0.2,6.7,0.1,0.0,0.0,0.1,8.7,0.3,0.0
