keyword	keywordThesaurus
Lake	cuahsi controlled vocabulary
reservoir	cuahsi controlled vocabulary
lakes	cuahsi controlled vocabulary
reservoirs	cuahsi controlled vocabulary
meteorology	cuahsi controlled vocabulary
high-frequency	cuahsi controlled vocabulary
air temperature	cuahsi controlled vocabulary
relative humidity	cuahsi controlled vocabulary
PAR	cuahsi controlled vocabulary
photosynthetically active radiation	cuahsi controlled vocabulary
infrared radiation	cuahsi controlled vocabulary
shortwave radiation	cuahsi controlled vocabulary
meteorological data	cuahsi controlled vocabulary
albedo	cuahsi controlled vocabulary
precipitation	cuahsi controlled vocabulary
rainfall	cuahsi controlled vocabulary
wind speed	cuahsi controlled vocabulary
wind velocity	cuahsi controlled vocabulary
barometric pressure	cuahsi controlled vocabulary
Carey Lab	carey lab controlled vocabulary
Virginia Tech	carey lab controlled vocabulary
Smart Reservoir	carey lab controlled vocabulary
Carvins Cove Reservoir	carey lab controlled vocabulary
Western Virginia Water Authority	carey lab controlled vocabulary
Virginia Reservoirs 	carey lab controlled vocabulary
LTREB 	carey lab controlled vocabulary
Virginia Reservoirs LTREB 	carey lab controlled vocabulary
CCR 	carey lab controlled vocabulary
CCRmet 	carey lab controlled vocabulary
