,Reservoir,Site,DateTime,Depth_m,Rep,TP_ugL,TN_ugL,Flag_TP,Flag_TN,NH4_ugL,SRP_ugL,NO3NO2_ugL,Flag_NH4,Flag_SRP,Flag_NO3NO2,DOC_mgL,DIC_mgL,DC_mgL,DN_mgL,Flag_DC,Flag_DIC,Flag_DOC,Flag_DN
1,BVR,100,2019-01-21 12:00:00,0.1,1,15.5,67,0,0,5,1,3,0,3,0,1.1,2.4,3.5,0.1,0,0,0,0
2,BVR,100,2019-01-21 12:00:00,0.1,2,15.1,94.4,0,0,2,1,6,3,3,0,2,3,2.5,0.05,0,0,0,3
3,BVR,175,2019-01-21 12:00:00,0.1,1,10.1,60.1,0,0,1,3,6,3,0,0,1.5,2.5,4,0.1,0,0,0,0
4,BVR,175,2019-01-21 12:00:00,0.1,2,17.3,34,0,0,4,3,6,0,0,0,1.2,2.4,3.6,0.1,0,0,0,0
5,BVR,200,2019-01-21 12:00:00,0.1,1,12.7,76.9,0,0,0,3,3,43,0,0,1.5,2.4,3.9,0.1,0,0,0,0
6,BVR,200,2019-01-21 12:00:00,0.1,1,12.7,76.9,0,0,0,3,3,43,0,0,1.3,2.2,3.6,0.1,0,0,0,0
7,BVR,200,2019-01-21 12:00:00,0.1,2,2.1,63,3,0,11,0,3,3,3,0,1.5,2.4,3.9,0.1,0,0,0,0
8,BVR,200,2019-01-21 12:00:00,0.1,2,2.1,63,3,0,11,0,3,3,3,0,0.8,1.8,2.6,0.2,0,0,0,0
9,BVR,215,2019-01-21 12:00:00,0.1,1,6.1,213.8,0,0,0,3,3,43,0,0,0.9,2.5,3.4,0.2,0,0,0,0
10,BVR,215,2019-01-21 12:00:00,0.1,2,7.4,245.5,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
11,BVR,50,2019-04-08 12:00:00,0.1,1,6.6,138,0,0,3,4,4,3,0,0,2.8,2.5,5.3,0.1,0,0,0,0
12,BVR,50,2019-04-08 12:00:00,3,1,4.1,118.5,3,0,9,8,3,0,0,0,3.3,2.5,5.8,0.2,0,0,0,0
13,BVR,50,2019-04-08 12:00:00,6,1,2.7,114,3,0,9,6,4,0,0,0,3.5,2.4,5.9,0.2,0,0,0,0
14,BVR,50,2019-04-08 12:00:00,9,1,10.3,211.5,0,0,35,2,6,0,0,0,3.4,2.7,6.1,0.2,0,0,0,0
15,BVR,50,2019-04-08 12:00:00,10.5,1,6.9,201,0,0,67,4,8,0,0,0,3.2,2.1,5.3,0.2,0,0,0,0
16,BVR,1,2019-04-29 12:00:00,0.1,1,5.1,117,0,0,4,1,3,3,3,0,3.8,1.3,5.1,0.1,0,0,0,0
17,BVR,100,2019-04-29 12:00:00,0.1,1,28.9,99,0,0,19,5,3,3,0,0,1.2,3.1,4.3,0.1,0,0,0,0
18,BVR,20,2019-04-29 12:00:00,0.1,1,4.9,166.5,0,0,5,1,0,0,3,43,3.3,1.7,5,0.1,0,0,0,0
19,BVR,200,2019-04-29 12:00:00,0.1,1,8.6,99,0,0,24,1,8,3,3,0,0.5,4.3,4.8,0.1,0,0,0,0
20,BVR,30,2019-04-29 12:00:00,0.1,1,6.2,186,0,0,7,2,0,0,3,43,2.7,2.5,5.3,0.1,0,0,0,0
21,BVR,45,2019-04-29 12:00:00,0.1,1,4.8,132,0,0,6,0,3,0,3,0,1.6,2.2,3.8,0.1,0,0,0,0
22,BVR,50,2019-04-29 12:00:00,0.1,1,2.8,124.5,3,0,7,4,3,0,0,0,3.5,1.8,5.2,0.1,7,7,7,7
23,BVR,50,2019-04-29 12:00:00,0.1,2,4.3,127.5,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
24,BVR,50,2019-04-29 12:00:00,3,1,3.3,106.5,3,0,6,4,3,0,0,0,3.2,2.1,5.3,0.2,0,0,0,0
25,BVR,50,2019-04-29 12:00:00,6,1,6.8,172.5,0,0,6,4,3,0,0,0,2.5,2.5,5,0.1,0,0,0,0
26,BVR,50,2019-04-29 12:00:00,9,1,5.2,247.5,0,0,115,1,3,3,3,0,1.4,2.6,4.1,0.2,0,0,0,0
27,BVR,50,2019-04-29 12:00:00,10.5,1,3.9,349.5,3,0,175,3,3,3,0,0,2.4,3,5.4,0.3,0,0,0,0
28,BVR,50,2019-05-16 12:00:00,0.1,1,1.8,144,3,0,6,1,3,0,3,0,2.5,3,5.5,0.2,0,0,0,0
29,BVR,50,2019-05-16 12:00:00,3,1,2,93,3,0,5,8,5,0,0,0,2.4,2.2,4.6,0.2,0,0,0,0
30,BVR,50,2019-05-16 12:00:00,6,1,15,304.5,0,0,9,6,3,0,0,0,3,2.5,5.6,0.2,7,7,7,7
31,BVR,50,2019-05-16 12:00:00,9,1,18.8,393,0,0,173,4,3,3,0,0,2.7,2.9,5.6,0.3,0,0,0,0
32,BVR,50,2019-05-16 12:00:00,10,1,17.4,579,0,0,390,4,5,0,0,0,2.4,3.5,5.9,0.5,0,0,0,0
33,BVR,50,2019-05-23 12:00:00,0.1,1,2.4,211.5,3,0,13,2,3,3,0,0,2.7,2.6,5.2,0.1,0,0,0,0
34,BVR,50,2019-05-23 12:00:00,3,1,-1.5,148.5,3,0,10,4,30,0,0,0,3.2,2.6,5.8,0.2,0,0,0,0
35,BVR,50,2019-05-23 12:00:00,6,1,1.6,148.5,3,0,14,4,3,3,0,0,3.1,2.4,5.5,0.2,0,0,0,0
36,BVR,50,2019-05-23 12:00:00,9,1,23.1,616.5,0,0,217,2,3,3,3,0,2.4,3.3,5.7,0.3,0,0,0,0
37,BVR,50,2019-05-23 12:00:00,11,1,26.1,1191,0,0,863,9,3,0,0,0,3.4,4.4,7.8,1.1,0,0,0,0
38,BVR,1,2019-05-30 12:00:00,0.1,1,2.1,121.5,3,0,5,1,3,0,3,0,2.8,2.5,5.3,0.1,0,0,0,0
39,BVR,100,2019-05-30 12:00:00,0.1,1,49.6,162,0,0,22,5,3,3,0,0,1,3.4,4.4,0.1,0,0,0,0
40,BVR,20,2019-05-30 12:00:00,0.1,1,4.6,190.5,0,0,7,1,0,0,3,43,3.2,2.5,5.6,0.2,0,0,0,0
41,BVR,200,2019-05-30 12:00:00,0.1,1,11.7,151.5,0,0,38,2,3,0,0,0,2.4,3,5.4,0.2,7,7,7,7
42,BVR,30,2019-05-30 12:00:00,0.1,1,5.8,213,0,0,2,1,3,3,3,0,2.1,2.4,4.5,0.1,0,0,0,0
43,BVR,45,2019-05-30 12:00:00,0.1,1,4,118.5,3,0,6,2,3,0,3,0,1.9,2.2,4.1,0.1,0,0,0,0
44,BVR,50,2019-05-30 12:00:00,0.1,1,4.7,130.5,0,0,6,0,0,0,3,43,3.4,2.1,5.4,0.1,7,7,7,7
45,BVR,50,2019-05-30 12:00:00,0.1,2,2.2,222,3,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
46,BVR,50,2019-05-30 12:00:00,3,1,0.4,133.5,3,0,7,0,3,0,43,0,2.9,2.7,5.6,0.2,0,0,0,0
47,BVR,50,2019-05-30 12:00:00,6,1,3.3,118.5,3,0,9,0,3,0,43,0,2.8,2.8,5.6,0.2,0,0,0,0
48,BVR,50,2019-05-30 12:00:00,9,1,23.1,655.5,0,0,185,2,3,3,0,0,2.4,3.5,5.9,0.3,0,0,0,0
49,BVR,50,2019-05-30 12:00:00,11,1,26.2,1086,0,0,666,7,6,0,0,0,2.6,4.2,6.7,0.8,0,0,0,0
50,BVR,50,2019-06-06 12:00:00,0.1,1,3.2,90,3,0,6,5,0,0,0,43,2,2.3,4.3,0.1,0,0,0,0
51,BVR,50,2019-06-06 12:00:00,3,1,0.4,0,3,43,9,1,3,0,3,0,2.5,2.6,5.2,0.1,0,0,0,0
52,BVR,50,2019-06-06 12:00:00,6,1,5.4,141,0,0,2,7,0,3,0,43,1.5,2.2,3.7,0.1,0,0,0,0
53,BVR,50,2019-06-06 12:00:00,9,1,18.6,0,0,43,414,5,0,0,0,43,1.9,3.5,5.4,0.5,0,0,0,0
54,BVR,50,2019-06-06 12:00:00,11,1,NA,2181,0,0,883,23,0,0,0,43,2.9,3.9,6.8,1.1,0,0,0,0
55,BVR,50,2019-06-11 12:00:00,6,1,NA,NA,0,0,NA,NA,NA,0,0,0,2,2.7,4.7,0.2,0,0,0,0
56,BVR,50,2019-06-13 12:00:00,0.1,1,3,187.5,3,0,3,3,0,3,0,43,1.7,2.4,4.1,0.1,0,0,0,0
57,BVR,50,2019-06-13 12:00:00,3,1,-1.6,66,3,0,6,2,3,0,0,0,2.7,1.8,4.5,0.1,0,0,0,0
58,BVR,50,2019-06-13 12:00:00,6,1,4.3,211.5,0,0,NA,NA,NA,0,0,0,2.3,2.5,4.8,0.2,0,0,0,0
59,BVR,50,2019-06-13 12:00:00,9,1,36.3,772.5,0,0,270,3,3,3,0,0,2,3.2,5.2,0.3,0,0,0,0
60,BVR,100,2019-06-20 12:00:00,0.1,1,37.4,136.5,0,0,18,3,3,3,0,0,1.1,2.5,3.6,0.1,0,0,0,0
61,BVR,200,2019-06-20 12:00:00,0.1,1,11.1,187.5,0,0,44,2,28,0,0,0,2,2.8,4.8,0.2,0,0,0,0
62,BVR,50,2019-06-20 12:00:00,0.1,1,-0.8,108,3,0,7,5,3,0,0,0,3.2,2.4,5.6,0.2,0,0,0,0
63,BVR,50,2019-06-20 12:00:00,3,1,4.8,141,0,0,14,6,8,3,0,0,3,2.1,5,0.2,0,0,0,0
64,BVR,50,2019-06-20 12:00:00,6,1,7,228,0,0,9,2,3,0,0,0,2.7,2.8,5.5,0.1,0,0,0,0
65,BVR,50,2019-06-20 12:00:00,9,1,25.2,945,0,0,641,12,3,0,3,0,2.3,4,6.2,0.8,0,0,0,0
66,BVR,50,2019-06-20 12:00:00,11,1,41.7,1641,0,0,1180,27,3,3,0,0,2.2,4.2,6.4,1.2,0,0,0,0
67,BVR,1,2019-06-27 12:00:00,0.1,1,5.2,256.5,0,0,6,9,3,0,0,0,2.2,2.5,4.7,0.1,0,0,0,0
68,BVR,1,2019-06-27 12:00:00,0.1,2,NA,NA,0,0,11,7,3,3,0,0,2.1,2.3,4.4,0.1,0,0,0,0
69,BVR,100,2019-06-27 12:00:00,0.1,1,62.6,198,0,0,26,13,26,3,3,0,2.3,3.9,6.2,0.2,0,0,0,0
70,BVR,100,2019-06-27 12:00:00,0.1,2,NA,NA,0,0,21,13,27,3,3,0,1.8,3.9,5.7,0.1,0,0,0,0
71,BVR,20,2019-06-27 12:00:00,0.1,1,6.8,150,0,0,7,8,3,0,0,0,2.9,2.7,5.6,0.2,0,0,0,0
72,BVR,20,2019-06-27 12:00:00,0.1,2,NA,NA,0,0,5,8,3,0,0,0,2.8,2.7,5.5,0.2,0,0,0,0
73,BVR,200,2019-06-27 12:00:00,0.1,1,14.6,195,0,0,47,7,39,0,0,0,3.7,2.5,6.2,0.2,7,7,7,7
74,BVR,30,2019-06-27 12:00:00,0.1,1,6.8,165,0,0,6,4,8,0,0,0,3.2,2.6,5.8,0.2,0,0,0,0
75,BVR,30,2019-06-27 12:00:00,0.1,2,NA,NA,0,0,10,8,0,3,0,43,3.2,2.3,5.4,0.2,0,0,0,0
76,BVR,45,2019-06-27 12:00:00,0.1,1,3.7,196.5,3,0,10,7,3,0,0,0,3.4,2.6,6,0.2,0,0,0,0
77,BVR,50,2019-06-27 12:00:00,0.1,1,6.8,153,0,0,7,6,3,0,0,0,3.3,2.6,6,0.2,0,0,0,0
78,BVR,50,2019-06-27 12:00:00,0.1,1,6.8,153,0,0,7,6,3,0,0,0,3.5,1.9,5.3,0.2,0,0,0,0
79,BVR,50,2019-06-27 12:00:00,0.1,2,NA,NA,0,0,4,5,3,0,0,0,3.3,2.8,6.1,0.2,0,0,0,0
80,BVR,50,2019-06-27 12:00:00,0.1,2,NA,NA,0,0,4,5,3,0,0,0,2.9,2.6,5.5,0.2,0,0,0,0
81,BVR,50,2019-06-27 12:00:00,3,1,2.9,117,3,0,4,3,7,0,0,0,2.4,2.4,4.8,0.2,7,7,7,7
82,BVR,50,2019-06-27 12:00:00,6,1,5.1,216,0,0,18,7,3,3,0,0,3,2.7,5.7,0.2,0,0,0,0
83,BVR,50,2019-06-27 12:00:00,9,1,26.1,894,0,0,507,8,5,0,0,0,3.6,4.2,7.7,0.8,0,0,0,0
84,BVR,50,2019-06-27 12:00:00,11,1,54.6,1675.5,0,0,1390,9,3,3,0,0,4.7,4.6,9.3,1.7,0,0,0,0
85,BVR,50,2019-07-03 12:00:00,0.1,1,3.8,159,3,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
86,BVR,50,2019-07-03 12:00:00,3,1,3,153,3,0,5,2,3,0,3,0,2.9,2.5,5.4,0.2,0,0,0,0
87,BVR,50,2019-07-03 12:00:00,6,1,5.2,180,0,0,10,3,3,0,0,0,2,2.4,4.5,0.2,0,0,0,0
88,BVR,50,2019-07-03 12:00:00,9,1,37.2,774,0,0,340,5,3,0,0,0,1.9,3,4.8,0.3,7,7,7,7
89,BVR,50,2019-07-03 12:00:00,11,1,48.5,2031,0,0,139,2,3,3,3,0,2.7,4.7,7.4,1.4,0,0,0,0
90,BVR,50,2019-07-11 12:00:00,0.1,1,3.9,115.5,3,0,8,3,3,0,0,0,2.8,2.7,5.4,0.1,0,0,0,0
91,BVR,50,2019-07-11 12:00:00,3,1,1.2,192,3,0,10,1,4,3,3,0,2.5,2.7,5.3,0.2,0,0,0,0
92,BVR,50,2019-07-11 12:00:00,6,1,7,225,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
93,BVR,50,2019-07-11 12:00:00,9,1,24.1,985.5,0,0,88,4,3,0,0,0,2.2,3.9,6.1,1,0,0,0,0
94,BVR,50,2019-07-11 12:00:00,11,1,54.1,2005.5,0,0,186,3,3,3,0,0,3,5.8,8.8,1.9,0,0,0,0
95,BVR,1,2019-07-18 12:00:00,0.1,1,4.1,154.5,3,0,10,1,3,3,3,0,2.7,2.8,5.5,0.1,0,0,0,0
96,BVR,100,2019-07-18 12:00:00,0.1,1,38.9,168,0,0,33,6,24,0,0,0,4.5,2.6,7.1,0.1,0,0,0,0
97,BVR,20,2019-07-18 12:00:00,0.1,1,4.6,154.5,0,0,5,2,3,0,3,0,2.3,2.5,4.8,0.1,0,0,0,0
98,BVR,200,2019-07-18 12:00:00,0.1,1,9.4,217.5,0,0,57,1,39,0,3,0,4.9,2.2,7.1,0.2,0,0,0,0
99,BVR,30,2019-07-18 12:00:00,0.1,1,4.5,180,0,0,7,1,3,0,3,0,4.5,1.7,6.3,0.2,0,0,0,0
100,BVR,45,2019-07-18 12:00:00,0.1,1,6,168,0,0,6,1,3,0,3,0,2.1,2.5,4.7,0.1,0,0,0,0
101,BVR,50,2019-07-18 12:00:00,0.1,1,4.4,138,0,0,6,3,1,7,7,73,2.7,2.9,5.5,0.2,0,0,0,0
102,BVR,50,2019-07-18 12:00:00,0.1,2,1.5,460.5,3,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
103,BVR,50,2019-07-18 12:00:00,3,1,4.7,175.5,0,0,2,3,0,3,0,43,2.4,2.6,5,0.2,0,0,0,0
104,BVR,50,2019-07-18 12:00:00,6,1,7.5,235.5,0,0,53,5,3,0,0,0,4,2.6,3.9,0.225,0,0,0,0
105,BVR,50,2019-07-18 12:00:00,9,1,12,1236,0,0,NA,NA,NA,0,0,0,2.1,4,6.2,1.1,0,0,0,0
106,BVR,50,2019-07-18 12:00:00,11,1,37.5,2436,0,0,195,3,3,3,0,0,NA,NA,NA,NA,0,0,0,0
107,BVR,50,2019-07-24 12:00:00,0.1,1,4.4,168,0,0,1,3,3,3,0,0,2.5,2.7,5.1,0.2,0,0,0,0
108,BVR,50,2019-07-24 12:00:00,3,1,4.8,168,0,0,7,2,3,0,0,0,3.1,2.8,6,0.2,0,0,0,0
109,BVR,50,2019-07-24 12:00:00,6,1,5.1,168,0,0,NA,NA,NA,0,0,0,2,2.3,4.3,0.2,0,0,0,0
110,BVR,50,2019-07-24 12:00:00,9,1,12.8,1180.5,0,0,1090,12,3,3,3,0,1.7,4.2,5.9,1.2,0,0,0,0
111,BVR,50,2019-07-24 12:00:00,11,1,60.6,2635.5,0,0,NA,NA,NA,0,0,0,2.6,4.5,7.1,2,0,0,0,0
112,BVR,50,2019-08-01 12:00:00,0.1,1,4.5,229.5,0,0,6,7,8,0,0,0,1.6,2,3.6,0.1,0,0,0,0
113,BVR,50,2019-08-01 12:00:00,3,1,4.7,396,0,0,12,6,4,3,0,0,2.2,2.3,4.5,0.2,0,0,0,0
114,BVR,50,2019-08-01 12:00:00,6,1,23.4,466.5,0,0,33,4,3,0,0,0,2.6,2.9,5.5,0.2,0,0,0,0
115,BVR,50,2019-08-01 12:00:00,9,1,18.4,789,0,0,665,10,3,0,0,0,2.7,4.7,7.4,0.9,0,0,0,0
116,BVR,50,2019-08-01 12:00:00,11,1,32.4,2076,0,0,1800,5,3,3,0,0,2.1,5.2,7.2,2.1,0,0,0,0
117,BVR,50,2019-08-08 12:00:00,0.1,1,4.2,234,0,0,6,3,3,0,0,0,2.2,2.5,4.7,0.2,0,0,0,0
118,BVR,50,2019-08-08 12:00:00,3,1,6.2,216,0,0,8,4,3,0,0,0,1.9,2.5,4.3,0.1,0,0,0,0
119,BVR,50,2019-08-08 12:00:00,6,1,16.4,295.5,0,0,12,6,3,3,0,0,2.2,2.8,4.9,0.2,0,0,0,0
120,BVR,50,2019-08-08 12:00:00,9,1,44,1990.5,0,0,161,3,3,3,0,0,2.3,4.8,7.1,1.7,0,0,0,0
121,BVR,50,2019-08-08 12:00:00,11,1,22.5,2185.5,0,0,2160,12,3,3,3,0,2.1,5.5,7.6,2.5,0,0,0,0
122,BVR,50,2019-08-14 12:00:00,0.1,1,7.6,204,0,0,2,6,3,3,0,0,2.5,2.7,5.2,0.2,0,0,0,0
123,BVR,50,2019-08-14 12:00:00,3,1,9.5,274.5,0,0,9,7,4,0,0,0,2.5,2.6,5.1,0.2,0,0,0,0
124,BVR,50,2019-08-14 12:00:00,6,1,26.9,342,0,0,7,8,9,0,0,0,2.4,3,5.3,0.2,0,0,0,0
125,BVR,50,2019-08-14 12:00:00,9,1,36.1,1039.5,0,0,746,12,4,0,3,0,2.2,4.1,6.3,0.8,0,0,0,0
126,BVR,50,2019-08-14 12:00:00,11,1,26.5,2314.5,0,0,2010,10,4,3,0,0,2.1,5.4,7.5,2.3,0,0,0,0
127,BVR,1,2019-08-22 12:00:00,0.1,1,13.4,339,0,0,8,8,10,0,0,0,2.6,2.7,5.4,0.2,0,0,0,0
128,BVR,1,2019-08-22 12:00:00,0.1,2,12,170,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
129,BVR,100,2019-08-22 12:00:00,0.1,1,53.3,181.5,0,0,23,6,28,3,0,0,1.2,4.2,5.5,0.1,0,0,0,0
130,BVR,100,2019-08-22 12:00:00,0.1,2,75.2,150,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
131,BVR,20,2019-08-22 12:00:00,0.1,1,10.7,287,0,0,10,3,3,3,0,0,2.1,3.1,5.2,0.2,0,0,0,0
132,BVR,200,2019-08-22 12:00:00,0.1,1,14.8,249,0,0,49,5,56,0,0,0,1.9,3.1,5.1,0.2,0,0,0,0
133,BVR,200,2019-08-22 12:00:00,0.1,2,24.6,308,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
134,BVR,30,2019-08-22 12:00:00,0.1,1,6.6,260,0,0,3,5,3,3,0,0,3.1,2.6,5.7,0.2,0,0,0,0
135,BVR,30,2019-08-22 12:00:00,0.1,2,6.5,261,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
136,BVR,45,2019-08-22 12:00:00,0.1,1,7.1,247.5,0,0,3,5,3,3,0,0,2.4,2.6,5,0.1,0,0,0,0
137,BVR,45,2019-08-22 12:00:00,0.1,2,15.2,255,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
138,BVR,50,2019-08-22 12:00:00,0.1,1,11.6,140,0,0,5,6,5,0,0,0,2.7,2.6,5.4,0.2,0,0,0,0
139,BVR,50,2019-08-22 12:00:00,0.1,2,14.4,161,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
140,BVR,50,2019-09-04 12:00:00,0.1,1,12.6,188,0,0,3,4,0,3,0,43,2.8,2.6,5.4,0.2,0,0,0,0
141,BVR,50,2019-09-04 12:00:00,3,1,12.5,253.5,0,0,6,2,3,0,3,0,2.8,2.5,5.3,0.2,0,0,0,0
142,BVR,50,2019-09-04 12:00:00,6,1,22.3,349.5,0,0,5,3,3,0,0,0,1.6,3.9,5.5,0.2,0,0,0,0
143,BVR,50,2019-09-04 12:00:00,9,1,24.3,1997,0,0,203,4,0,3,0,43,2.1,5.4,7.5,2,0,0,0,0
144,BVR,50,2019-09-04 12:00:00,11,1,52.7,2333,0,0,2590,14,3,3,3,0,2.4,6.3,8.7,3.1,0,0,0,0
145,BVR,1,2019-09-20 12:00:00,0.1,1,13.1,290,0,0,9,5,7,0,0,0,3,2.8,5.8,0.3,0,0,0,0
146,BVR,1,2019-09-20 12:00:00,0.1,2,14.1,297,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
147,BVR,20,2019-09-20 12:00:00,0.1,1,19.8,270,0,0,6,4,3,0,0,0,3.3,2.7,6,0.3,0,0,0,0
148,BVR,20,2019-09-20 12:00:00,0.1,2,17,173,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
149,BVR,30,2019-09-20 12:00:00,0.1,1,15.5,384,0,0,3,14,3,3,3,0,3.3,2.6,5.9,0.2,0,0,0,0
150,BVR,30,2019-09-20 12:00:00,0.1,2,20.6,209,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
151,BVR,45,2019-09-20 12:00:00,0.1,1,15.8,159,0,0,3,6,3,3,0,0,2.9,2.5,5.5,0.2,0,0,0,0
152,BVR,45,2019-09-20 12:00:00,0.1,2,12.6,288,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
153,BVR,50,2019-09-20 12:00:00,0.1,1,32.5,324,0,0,4,3,3,0,0,0,2.5,2.6,5.2,0.2,0,0,0,0
154,BVR,50,2019-09-20 12:00:00,0.1,2,17.9,167,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
155,BVR,50,2019-09-20 12:00:00,3,1,11.2,330,0,0,20,4,0,3,0,43,2.7,2.7,5.4,0.2,0,0,0,0
156,BVR,50,2019-09-20 12:00:00,6,1,30.2,404,0,0,11,6,9,3,0,0,1.5,4,5.5,0.1,0,0,0,0
157,BVR,50,2019-09-20 12:00:00,9,1,27.8,2162,0,0,2280,8,3,3,0,0,1.9,6,7.8,2.6,0,0,0,0
158,BVR,50,2019-09-20 12:00:00,11,1,32,2777,0,0,3140,11,3,0,3,0,2.3,6.3,8.7,3.6,0,0,0,0
159,BVR,1,2019-10-04 12:00:00,0.1,1,21.5,317,0,0,0,3,3,43,0,0,3.7,2.6,6.3,0.2,0,0,0,0
160,BVR,1,2019-10-04 12:00:00,0.1,2,29.1,350,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
161,BVR,100,2019-10-04 12:00:00,0.1,1,85.5,117,0,0,29,12,3,3,3,0,1.4,4.6,6,0.1,0,0,0,0
162,BVR,100,2019-10-04 12:00:00,0.1,2,78.3,197,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
163,BVR,20,2019-10-04 12:00:00,0.1,1,20.7,164,0,0,8,0,3,0,43,0,3.5,2.6,6.2,0.2,0,0,0,0
164,BVR,20,2019-10-04 12:00:00,0.1,2,17.9,170,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
165,BVR,200,2019-10-04 12:00:00,0.1,1,26.6,185,0,0,56,1,78,0,3,0,1.3,4.5,5.8,0.2,7,7,7,7
166,BVR,200,2019-10-04 12:00:00,0.1,2,48,270,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
167,BVR,30,2019-10-04 12:00:00,0.1,1,16.5,410,0,0,8,8,4,0,0,0,3.9,2.4,6.3,0.2,0,0,0,0
168,BVR,30,2019-10-04 12:00:00,0.1,2,20.9,441,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
169,BVR,45,2019-10-04 12:00:00,0.1,1,14.9,420,0,0,4,0,3,0,43,0,3.3,2.6,5.9,0.2,0,0,0,0
170,BVR,50,2019-10-04 12:00:00,0.1,1,19.8,165,0,0,5,9,3,0,0,0,3.2,2.5,5.8,0.2,7,7,7,7
171,BVR,50,2019-10-04 12:00:00,0.1,2,14.3,339,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
172,BVR,50,2019-10-04 12:00:00,3,1,14.6,258,0,0,5,6,0,0,0,43,3.1,3.1,6.2,0.2,0,0,0,0
173,BVR,50,2019-10-04 12:00:00,6,1,23,310.5,0,0,14,3,4,3,0,0,1.9,3.9,5.7,0.1,0,0,0,0
174,BVR,50,2019-10-04 12:00:00,8,1,NA,NA,0,0,NA,NA,NA,0,0,0,1.4,6.1,7.5,1,0,0,0,0
175,BVR,50,2019-10-04 12:00:00,9,1,42.1,2509.5,0,0,1730,15,3,3,3,0,1.6,5.5,7.2,1.7,0,0,0,0
176,BVR,50,2019-10-04 12:00:00,10.5,1,35.2,3469.5,0,0,2740,12,3,3,3,0,2.5,6.4,8.9,3.3,0,0,0,0
177,BVR,50,2019-10-18 12:00:00,0.1,1,24.6,540,0,0,8,3,0,0,0,43,2.7,3.1,5.7,0.2,0,0,0,0
178,BVR,50,2019-10-18 12:00:00,3,1,23.1,236,0,0,0,6,8,43,0,0,2.4,3.1,5.5,0.2,0,0,0,0
179,BVR,50,2019-10-18 12:00:00,6,1,35,338,0,0,10,3,3,0,0,0,2.5,3,5.5,0.2,0,0,0,0
180,BVR,50,2019-10-18 12:00:00,9,1,26,2681,0,0,2990,15,3,3,3,0,2.3,6.6,8.9,3.6,0,0,0,0
181,BVR,50,2019-10-28 12:00:00,0.1,1,16.2,363,0,0,2,5,3,3,0,0,1.9,3.5,5.3,0.2,0,0,0,0
182,BVR,50,2019-10-28 12:00:00,3,1,21.6,252,0,0,13,6,3,3,0,0,3.3,2.6,5.8,0.2,0,0,0,0
183,BVR,50,2019-10-28 12:00:00,6,1,13.7,384,0,0,14,4,4,3,0,0,2.3,2.9,5.2,0.2,0,0,0,0
184,BVR,50,2019-10-28 12:00:00,9,1,18.8,1126,0,0,1440,34,3,3,0,0,1.7,4.6,6.3,1.4,0,0,0,0
185,BVR,50,2019-10-28 12:00:00,10,1,29.4,1973,0,0,2240,16,4,3,3,0,2.4,5.9,8.3,2.7,0,0,0,0
186,BVR,50,2019-11-15 12:00:00,0.1,1,21,243,0,0,37,5,7,0,0,0,2.4,3,5.4,0.2,0,0,0,0
187,BVR,50,2019-11-15 12:00:00,3,1,43.2,498,0,0,33,4,7,0,0,0,1.9,3,4.9,0.2,0,0,0,0
188,BVR,50,2019-11-15 12:00:00,6,1,15.8,351,0,0,38,4,6,0,0,0,2.7,2.9,5.6,0.2,0,0,0,0
189,BVR,50,2019-11-15 12:00:00,9,1,19.7,191,0,0,38,5,3,0,0,0,2.7,3,5.7,0.2,0,0,0,0
190,BVR,50,2019-11-15 12:00:00,11,1,17.3,407,0,0,48,5,7,0,0,0,2.4,3,5.4,0.2,0,0,0,0
191,FCR,50,2019-01-17 12:00:00,6.2,1,NA,NA,0,0,18,2,0,3,0,43,NA,NA,NA,NA,0,0,0,0
