,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),77Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),137Ba (STDR),208Pb (STDR),238U (STDR),,
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),,
03/10/2025 - 15,0.1,289.6,49.3,27.5,857.2,14.7,0.6,-0.3,90.2,943.0,1.2,0.0,0.1,117.4,7.0,0.0,0.1,0.1,-2.3,0.0,-0.2,1.0,0.5,0.1,0.0,0.2,1.4,0.2,0.2,,
03/24/2025 - 15,0.1,295.8,51.3,33.7,868.9,15.6,0.3,-0.5,95.0,851.9,1.1,0.0,0.2,99.3,5.2,0.0,0.1,0.1,-2.3,0.0,-0.2,1.0,0.4,0.0,0.0,0.1,1.4,0.3,0.1,,
03/31/2025 - 15,0.1,295.8,50.4,27.8,861.4,15.3,0.4,-0.5,101.6,898.4,0.7,0.0,0.1,89.7,5.2,0.0,0.1,0.3,-2.0,0.0,-0.3,1.0,0.3,0.0,0.0,0.1,1.2,0.7,0.1,,
04/07/2025 - 15,0.1,303.9,57.3,34.3,874.4,15.3,0.3,-0.5,105.1,752.6,0.7,0.0,0.2,88.9,6.1,0.0,0.1,0.1,-2.3,-0.1,-0.3,1.0,0.2,0.0,0.0,0.1,1.4,0.8,0.0,,
04/14/2025 - 15,0.1,324.8,62.3,51.3,783.5,19.4,0.3,-0.5,126.6,"1,127.4",1.2,0.0,0.4,122.0,7.6,0.0,0.2,0.2,-2.3,-0.1,-0.4,1.3,0.2,0.0,0.0,0.1,1.8,1.1,0.0,,
04/21/2025 - 15,0.1,377.9,82.9,96.7,965.2,26.4,0.9,-0.5,163.0,"1,082.1",2.1,0.0,0.3,177.6,12.8,0.1,0.1,0.1,-2.2,-0.1,-0.3,1.6,0.2,0.0,0.0,0.1,2.6,1.3,0.0,,
04/28/2025 - 15,0.1,308.3,58.1,64.2,910.4,17.3,0.3,-0.6,116.0,893.9,1.3,0.0,0.5,128.0,8.8,0.0,0.2,0.1,-2.2,-0.1,-0.4,1.1,0.2,0.0,0.0,0.1,1.7,1.4,0.0,,
05/05/2025 - 15,0.1,297.1,52.6,65.3,882.8,15.7,0.3,-0.6,110.4,784.2,1.0,0.0,0.2,109.3,9.1,0.0,0.1,0.0,-2.3,-0.1,-0.4,1.0,0.1,0.0,0.0,0.0,1.6,1.5,0.0,,
05/12/2025 - 15,0.1,296.9,60.9,150.7,926.7,18.6,0.3,-0.7,130.3,930.6,2.5,0.1,0.2,197.7,18.4,0.1,0.2,0.2,-2.0,-0.1,-0.4,1.1,0.1,0.0,0.0,0.0,2.5,1.6,0.0,,
