
Advanced Calibration Data
,Temperature,Cal Date, Tm, Tzs, Tb
,Pressure,Cal Date,m2,m1,m0,b2,b1,b0,Linear(a),Linear(b)
,Temperature,unknown,0.000000,0.00,0.000000
,Pressure,4-Jun-12 14:50:11,0.000004,-0.000244,1.003512,-0.000072,0.004134,0.037016,0.000000,1.000000

Field Calibration Data
,Temperature,Cal Date,m,b
,Pressure,Cal Date,m,b
,Temperature(degC),unknown,1.000000,0.00
,Pressure(psi),unknown,1.000000,0.00

Sensor/Session information
SensorSN, 21204020 ,,Modbus Addr., 2 
Sensor Type,PT2X,,Initialized w/fw Rev,"2. 7"
Sensor Name,Barometric Pressure (2),,Uploaded,"Aqua4Plus 1.9.6"
Session Name,FCR_BV_20241216,,Exported,"Aqua4Plus 1.9.6"
# Records,  19480 
Statistical Data,,Temperature(degC),Pressure(psi),
,Sensor Range,-40 - +125 degC,15 psia,
,Minimum,-12.88,13.531,
,Maximum,37.31,14.162,
,Mean,12.31,13.905,
,Variance,106.147,0.0077,
,Std Deviation,10.303,0.0879,
,,,,
,Field Cal Date,unknown,unknown,
Rec #,Date/Time,Temperature(degC),Pressure(psi)
1,16-Dec-24 14:08:53,5.38,14.001
2,16-Dec-24 14:23:53,5.25,13.997
3,16-Dec-24 14:38:53,5.44,13.993
4,16-Dec-24 14:53:53,5.63,13.994
5,16-Dec-24 15:08:53,5.69,13.993
6,16-Dec-24 15:23:53,5.63,13.994
7,16-Dec-24 15:38:53,5.56,13.993
8,16-Dec-24 15:53:53,5.50,13.994
9,16-Dec-24 16:08:53,5.50,13.995
10,16-Dec-24 16:23:53,5.56,13.995
11,16-Dec-24 16:38:53,5.56,13.993
12,16-Dec-24 16:53:53,5.63,13.994
13,16-Dec-24 17:08:53,5.56,13.994
14,16-Dec-24 17:23:53,5.56,13.996
15,16-Dec-24 17:38:53,5.56,13.994
16,16-Dec-24 17:53:53,5.63,13.995
17,16-Dec-24 18:08:53,5.63,13.996
18,16-Dec-24 18:23:53,5.69,14.000
19,16-Dec-24 18:38:53,5.75,14.000
20,16-Dec-24 18:53:53,5.81,14.002
21,16-Dec-24 19:08:53,5.81,14.001
22,16-Dec-24 19:23:53,5.88,14.000
23,16-Dec-24 19:38:53,6.00,13.999
24,16-Dec-24 19:53:53,6.13,13.996
25,16-Dec-24 20:08:53,6.13,13.998
26,16-Dec-24 20:23:53,6.19,13.996
27,16-Dec-24 20:38:53,6.25,13.999
28,16-Dec-24 20:53:53,6.31,13.993
29,16-Dec-24 21:08:53,6.31,13.988
30,16-Dec-24 21:23:53,6.31,13.984
31,16-Dec-24 21:38:53,6.38,13.985
32,16-Dec-24 21:53:53,6.44,13.982
33,16-Dec-24 22:08:53,6.44,13.978
34,16-Dec-24 22:23:53,6.50,13.981
35,16-Dec-24 22:38:53,6.63,13.980
36,16-Dec-24 22:53:53,6.63,13.981
37,16-Dec-24 23:08:53,6.63,13.979
38,16-Dec-24 23:23:53,6.56,13.979
39,16-Dec-24 23:38:53,6.63,13.978
40,16-Dec-24 23:53:53,6.69,13.974
41,17-Dec-24 00:08:53,6.75,13.978
42,17-Dec-24 00:23:53,6.75,13.976
43,17-Dec-24 00:38:53,6.75,13.974
44,17-Dec-24 00:53:53,6.75,13.973
45,17-Dec-24 01:08:53,6.63,13.970
46,17-Dec-24 01:23:53,6.50,13.968
47,17-Dec-24 01:38:53,6.50,13.966
48,17-Dec-24 01:53:53,6.50,13.967
49,17-Dec-24 02:08:53,6.25,13.969
50,17-Dec-24 02:23:53,6.00,13.970
51,17-Dec-24 02:38:53,6.06,13.968
52,17-Dec-24 02:53:53,6.13,13.970
53,17-Dec-24 03:08:53,6.06,13.967
54,17-Dec-24 03:23:53,6.06,13.966
55,17-Dec-24 03:38:53,6.19,13.964
56,17-Dec-24 03:53:53,6.25,13.964
57,17-Dec-24 04:08:53,6.31,13.963
58,17-Dec-24 04:23:53,6.31,13.963
59,17-Dec-24 04:38:53,6.38,13.961
60,17-Dec-24 04:53:53,6.56,13.961
61,17-Dec-24 05:08:53,7.19,13.963
62,17-Dec-24 05:23:53,7.38,13.961
63,17-Dec-24 05:38:53,7.13,13.962
64,17-Dec-24 05:53:53,7.25,13.964
65,17-Dec-24 06:08:53,7.63,13.969
66,17-Dec-24 06:23:53,8.19,13.970
67,17-Dec-24 06:38:53,8.38,13.969
68,17-Dec-24 06:53:53,8.81,13.968
69,17-Dec-24 07:08:53,9.75,13.970
70,17-Dec-24 07:23:53,10.06,13.971
71,17-Dec-24 07:38:53,10.31,13.971
72,17-Dec-24 07:53:53,10.56,13.973
73,17-Dec-24 08:08:53,10.75,13.977
74,17-Dec-24 08:23:53,11.06,13.978
75,17-Dec-24 08:38:53,11.50,13.982
76,17-Dec-24 08:53:53,11.94,13.983
77,17-Dec-24 09:08:53,12.44,13.982
78,17-Dec-24 09:23:53,13.63,13.987
79,17-Dec-24 09:38:53,15.13,13.988
80,17-Dec-24 09:53:53,17.13,13.991
81,17-Dec-24 10:08:53,18.25,13.991
82,17-Dec-24 10:23:53,18.88,13.993
83,17-Dec-24 10:38:53,19.56,13.991
84,17-Dec-24 10:53:53,18.75,13.992
85,17-Dec-24 11:08:53,17.69,13.990
86,17-Dec-24 11:23:53,17.31,13.988
87,17-Dec-24 11:38:53,17.25,13.989
88,17-Dec-24 11:53:53,17.25,13.984
89,17-Dec-24 12:08:53,17.25,13.982
90,17-Dec-24 12:23:53,17.25,13.979
91,17-Dec-24 12:38:53,17.63,13.977
92,17-Dec-24 12:53:53,17.88,13.975
93,17-Dec-24 13:08:53,18.31,13.973
94,17-Dec-24 13:23:53,18.13,13.973
95,17-Dec-24 13:38:53,17.88,13.974
96,17-Dec-24 13:53:53,17.88,13.973
97,17-Dec-24 14:08:53,17.69,13.973
98,17-Dec-24 14:23:53,17.56,13.973
99,17-Dec-24 14:38:53,17.44,13.976
100,17-Dec-24 14:53:53,17.19,13.978
101,17-Dec-24 15:08:53,17.25,13.982
102,17-Dec-24 15:23:53,16.81,13.984
103,17-Dec-24 15:38:53,16.31,13.984
104,17-Dec-24 15:53:53,16.06,13.986
