
Advanced Calibration Data
,Temperature,Cal Date, Tm, Tzs, Tb
,Pressure,Cal Date,m2,m1,m0,b2,b1,b0,Linear(a),Linear(b)
,Temperature,unknown,0.000000,0.00,0.000000
,Pressure,4-Jun-12 14:50:11,0.0000040000,-0.0002440000,1.0035119057,-0.0000720000,0.0041340003,0.0370159969,0.0000000000,1.0000000000

Field Calibration Data
,Temperature,Cal Date,Slope,Offset
,Pressure,Cal Date,Slope,Offset
,Temperature(degC),unknown,1.000000,0.000
,Pressure(psi),unknown,1.000000,0.0000

Sensor/File information
Sensor SN, 21204020 ,,Modbus Addr., 2 
Sensor Type,PT2X,,Initialized w/fw Rev,"2. 7"
Sensor Name,Barometric Pressure (2),,Uploaded,"Aqua4Plus 1.9.10"
File Name,FCR_BV_20211109,,Exported,"Aqua4Plus 1.9.10"
# Records,  7471 
Statistical Data,,Temperature(degC),Pressure(psi),
,Sensor Range,-40 - +125 degC,15 psia,
,Minimum,-11.19,13.500,
,Maximum,26.13,14.146,
,Mean,6.48,13.907,
,Variance,43.559,0.0094,
,Std Deviation,6.600,0.0968,
,,,,
,Field Cal Date,unknown,unknown,
Rec #,Date/Time,Temperature(degC),Pressure(psi)
1,9-Nov-21 14:24:07,24.88,13.954
2,9-Nov-21 14:39:07,25.69,13.953
3,9-Nov-21 14:54:07,26.13,13.952
4,9-Nov-21 15:09:07,26.00,13.951
5,9-Nov-21 15:24:07,25.25,13.950
6,9-Nov-21 15:39:07,24.38,13.949
7,9-Nov-21 15:54:07,23.38,13.949
8,9-Nov-21 16:09:07,21.81,13.949
9,9-Nov-21 16:24:07,20.69,13.949
10,9-Nov-21 16:39:07,19.56,13.947
11,9-Nov-21 16:54:07,18.69,13.947
12,9-Nov-21 17:09:07,17.69,13.949
13,9-Nov-21 17:24:07,16.69,13.948
14,9-Nov-21 17:39:07,15.94,13.950
15,9-Nov-21 17:54:07,15.31,13.952
16,9-Nov-21 18:09:07,14.69,13.951
17,9-Nov-21 18:24:07,14.25,13.951
18,9-Nov-21 18:39:07,13.81,13.952
19,9-Nov-21 18:54:07,13.38,13.954
20,9-Nov-21 19:09:07,12.94,13.952
21,9-Nov-21 19:24:07,12.56,13.951
22,9-Nov-21 19:39:07,12.25,13.950
23,9-Nov-21 19:54:07,12.00,13.951
24,9-Nov-21 20:09:07,11.75,13.951
25,9-Nov-21 20:24:07,11.56,13.948
