file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,storage_fluxes,,,,,vertical_advection_fluxes,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,diagnostic_flags_LI-7500,,,,diagnostic_flags_LI-7700,,,,,,,,,,,,,,,,RSSI_LI-7500,variances,,,,,,,covariances,,,,custom_variables,,,,,,,,,,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,LE,qc_LE,co2_flux,qc_co2_flux,h2o_flux,qc_h2o_flux,ch4_flux,qc_ch4_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,chopper_LI-7500,detector_LI-7500,pll_LI-7500,sync_LI-7500,not_ready_LI-7700,no_signal_LI-7700,re_unlocked_LI-7700,bad_temp_LI-7700,laser_temp_unregulated_LI-7700,block_temp_unregulated_LI-7700,motor_spinning_LI-7700,pump_on_LI-7700,top_heater_on_LI-7700,bottom_heater_on_LI-7700,calibrating_LI-7700,motor_failure_LI-7700,bad_aux_tc1_LI-7700,bad_aux_tc2_LI-7700,bad_aux_tc3_LI-7700,box_connected_LI-7700,mean_value_RSSI_LI-7500,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,air_t_mean,air_p_mean,vin_sf_mean,co2_mean,h2o_mean,dew_point_mean,co2_signal_strength_7500_mean,ch4_mean,rssi_77_mean,ch4_aux-1_mean,ch4_aux-2_mean,ch4_aux-3_mean,ch4_aux-4_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
not_enough_data,2023-01-24,13:30,24.562,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-24T133000_AIU-0547.ghg,2023-01-24,14:00,24.5832,1,18000,18000,0.367355E-01,1,12.6697,2,-9999,-9999,-9999,-9999,-9999,-9999,-0.744269E-02,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.300483E-12,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,0,0.923599E-01,2.25243,2.25243,-0.500000,0,280.508,281.079,95823.3,1.18768,1005.29,0.243875E-01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.833327,-0.524514E-02,0.916015E-01,0.838363,0.215415E-13,0.325339E-14,0.838363,4.09471,333.174,359.639,6.27280,-9999,0.175870,0.628174,-36.2641,-0.799689E-01,-9999,-0.603368E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.362020E-01,1.01474,12.4684,1.01614,-9999,-9999,-9999,-9999,-9999,-9999,-0.647486E-02,1.14948,800000009,800001109,800000009,800000009,800001109,800001109,899999999,899999999,89999,89999,89,89,3,0,1,9,0,0,0,18000,18000,18000,0,0,0,0,0,0,0,0,0,9286,0,0,0,18000,18000,18000,18000,-9999,0.466484,0.705204,0.846609E-01,0.773431E-01,-9999,-9999,0.183644E-07,0.104429E-01,-9999,-9999,-0.647486E-05,12.0180,96233.3,11.4900,0.00000,0.00000,-9999,0.00000,2.10176,90.6922,1.00015,-273.150,9.00095,-273.150
2023-01-24T140000_AIU-0547.ghg,2023-01-24,14:30,24.6040,1,18000,18000,-0.760152,1,-39.5782,1,-9999,-9999,-9999,-9999,-9999,-9999,0.272502E-02,2,1.10242,-9999,-9999,-9999,0.505522E-03,-9999,-9999,-0.128396E-11,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,0,0.924417E-01,2.26010,2.26010,0.00000,1,280.936,281.653,95778.0,1.18470,1005.30,0.244489E-01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.729412E-01,0.410707E-01,0.838822E-01,0.118505,-0.738944E-13,-0.138894E-13,0.118505,4.96090,167.700,150.618,45.0592,-9999,0.801025,1.38612,1096.49,0.264480E-02,-9999,0.414865E-01,0,71.4332,-10.8403,24.5207,61.0600,93.1204,130.603,195.667,-0.731662,1.03894,-38.5503,1.02666,-9999,-9999,-9999,-9999,-9999,-9999,0.229671E-02,1.18649,800000009,800001109,800000009,800000009,800001109,800001109,899999999,899999999,89999,89999,89,89,6,4,6,12,0,0,2,18000,18000,18000,0,0,0,0,0,0,0,0,0,9000,0,0,0,18000,18000,18000,18000,-9999,0.590980,1.39161,0.789639,0.821045E-01,-9999,-9999,0.524804E-07,-0.323687E-01,-9999,-9999,0.229671E-05,12.0180,96148.4,11.3551,0.00000,0.00000,-9999,0.00000,2.10922,90.2519,1.00012,-325.920,9.00081,-273.150
2023-01-24T143000_AIU-0547.ghg,2023-01-24,15:00,24.6249,1,18000,18000,-0.974307E-01,1,22.4610,0,-9999,-9999,-9999,-9999,-9999,-9999,-0.771852E-02,0,1.11251,-9999,-9999,-9999,0.688127E-04,-9999,-9999,-0.158327E-13,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,0,0.922726E-01,2.26114,2.26114,-0.200000,0,281.151,282.234,95755.6,1.18199,1005.31,0.245051E-01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.487369,0.253756E-01,0.134533E-01,0.488215,-0.156262E-13,-0.171586E-15,0.488215,4.57281,160.667,177.019,1.57905,-9999,0.287106,0.803318,-88.9510,-0.326022E-01,-9999,-0.658380E-01,0,70.2179,-10.6558,24.1035,60.0212,91.5361,128.381,192.338,-0.953169E-01,1.02218,22.0015,1.02089,-9999,-9999,-9999,-9999,-9999,-9999,-0.667875E-02,1.15568,800000009,800001109,800000009,800000009,800001109,800001109,899999999,899999999,89999,89999,89,89,2,6,3,24,0,0,0,18000,18000,18000,0,0,0,0,0,0,0,0,0,14300,0,0,0,18000,18000,18000,18000,-9999,1.12447,0.376273,0.105889,0.101624,-9999,-9999,0.235665E-07,0.185157E-01,-9999,-9999,-0.667875E-05,12.0180,96114.7,11.3797,0.00000,0.00000,-9999,0.00000,2.11101,89.7487,1.00012,-273.150,9.00080,-273.150
2023-01-24T150000_AIU-0547.ghg,2023-01-24,15:30,24.6457,1,18000,18000,-0.106948,1,5.29040,1,-9999,-9999,-9999,-9999,-9999,-9999,-0.229446E-02,1,1.89802,-9999,-9999,-9999,-0.113835E-03,-9999,-9999,0.462845E-12,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,0,0.918917E-01,2.25941,2.25941,-0.300000,0,281.522,283.229,95770.1,1.17801,1005.33,0.245877E-01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.272385,0.661720E-01,0.684696E-01,0.288548,0.253106E-13,0.503685E-14,0.288548,3.28128,162.866,166.345,13.7266,-9999,0.301308,0.378867,-436.570,-0.664268E-02,-9999,-0.148259E-01,0,76.0941,-11.5476,26.1206,65.0441,99.1963,139.124,208.433,-0.103471,1.03360,5.14428,1.02840,-9999,-9999,-9999,-9999,-9999,-9999,-0.196674E-02,1.16663,800000009,800001109,800000009,800000009,800001109,800001109,899999999,899999999,89999,89999,89,89,18,20,5,10,0,0,0,18000,18000,18000,0,0,0,0,0,0,0,0,0,12500,0,0,0,18000,18000,18000,18000,-9999,0.266848,0.395489,0.953964E-01,0.920411E-01,-9999,-9999,0.196334E-07,0.434377E-02,-9999,-9999,-0.196674E-05,12.0180,96141.9,11.4500,0.00000,0.00000,-9999,0.00000,2.11188,89.5916,1.00006,-342.151,9.00062,-273.150
2023-01-24T153000_AIU-0547.ghg,2023-01-24,16:00,24.6665,1,18000,18000,-0.148117,1,1.29067,1,-9999,-9999,-9999,-9999,-9999,-9999,0.257620E-03,2,-2.34569,-9999,-9999,-9999,-0.421030E-03,-9999,-9999,0.219182E-13,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,0,0.920358E-01,2.25301,2.25301,0.00000,1,281.475,282.005,95776.9,1.18321,1005.30,0.244797E-01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.290331,0.181003E-01,0.727523E-01,0.299854,0.247824E-13,0.238149E-15,0.299854,2.51951,155.381,176.433,14.0416,-9999,0.353811,0.443383,-2897.49,-0.100087E-02,-9999,-0.306679E-02,0,80.9715,-12.2877,27.7949,69.2132,105.555,148.042,221.794,-0.143442,1.03259,1.25583,1.02774,-9999,-9999,-9999,-9999,-9999,-9999,0.221013E-03,1.16564,800000009,800001109,800000009,800000009,800001109,800011109,899999999,899999999,89999,89999,89,89,4,4,1,19,0,0,0,18000,18000,18000,0,0,0,0,0,0,0,0,0,13200,0,0,0,18000,18000,18000,18000,-9999,0.370692,0.403458,0.112616,0.316736E-01,-9999,-9999,0.117775E-07,0.105578E-02,-9999,-9999,0.221013E-06,12.0180,96145.7,11.4626,0.00000,0.00000,-9999,0.00000,2.10336,89.5174,1.00013,-273.150,9.00082,-273.150
2023-01-24T160000_AIU-0547.ghg,2023-01-24,16:30,24.6873,1,18000,18000,-0.114533,1,-41.4910,1,-9999,-9999,-9999,-9999,-9999,-9999,0.139607E-01,1,-2.59322,-9999,-9999,-9999,-0.217372E-03,-9999,-9999,0.456844E-12,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,0,0.923717E-01,2.24972,2.24972,0.00000,1,281.084,280.659,95807.3,1.18926,1005.28,0.243551E-01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.368283,-0.237823E-01,0.505710E-01,0.372499,0.103669E-14,0.494571E-14,0.372499,3.37674,155.636,183.695,7.80265,-9999,0.310332,0.413212,60.8322,0.476721E-01,-9999,0.111832,0,97.2776,-14.7623,33.3923,83.1515,126.811,177.855,266.458,-0.112898,1.01448,-40.7792,1.01746,-9999,-9999,-9999,-9999,-9999,-9999,0.116116E-01,1.20230,800000009,800001109,800000009,800000009,800001109,800111119,899999999,899999999,89999,89999,89,89,4,0,2,7,0,0,0,18000,18000,18000,0,0,0,0,0,0,0,0,0,14700,0,0,0,18000,18000,18000,18000,-9999,0.493157,0.278501,0.547654E-01,0.524716,-9999,-9999,0.535778E-07,-0.341094E-01,-9999,-9999,0.116116E-04,12.0180,96173.8,11.4700,0.00000,0.00000,-9999,0.00000,2.09800,89.2515,1.00008,-370.575,9.00071,-273.150
2023-01-24T163000_AIU-0547.ghg,2023-01-24,17:00,24.7082,0,18000,18000,-0.530549E-01,1,73.1522,1,-9999,-9999,-9999,-9999,-9999,-9999,-0.119569E-01,1,-4.18819,-9999,-9999,-9999,-0.291234E-03,-9999,-9999,-0.204240E-11,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,0,0.929058E-01,2.24535,2.24535,0.00000,1,278.948,278.501,95806.4,1.19847,1005.24,0.241681E-01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.523404,0.944176E-01,0.105145,0.542146,0.312303E-13,-0.219836E-13,0.542146,1.57720,323.906,10.2257,11.1829,-9999,0.210402,0.195326,-10.7526,-0.269703,-9999,-0.288591,0,120.468,-18.2815,41.3527,102.974,157.042,220.254,329.980,-0.519920E-01,1.02044,71.7346,1.01976,-9999,-9999,-9999,-9999,-9999,-9999,-0.103602E-01,1.15411,800000009,800001109,800000009,800000009,800001109,800001109,899999999,899999999,89999,89999,89,89,1,0,1,0,0,0,0,18000,18000,18000,0,0,0,0,0,0,0,0,0,9400,0,0,0,18000,18000,18000,18000,-9999,0.276239,0.996633E-01,0.147505E-01,0.765494,-9999,-9999,0.445880E-07,0.595433E-01,-9999,-9999,-0.103602E-04,12.0180,96165.6,11.4507,0.00000,0.00000,-9999,0.00000,2.08937,89.0139,1.00010,-273.150,9.00066,-273.150
2023-01-24T170000_AIU-0547.ghg,2023-01-24,17:30,24.7290,0,18000,18000,-0.437308E-02,1,7.16048,2,-9999,-9999,-9999,-9999,-9999,-9999,-0.259065E-02,1,-4.08395,-9999,-9999,-9999,-0.489671E-03,-9999,-9999,-0.380941E-12,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,0,0.932916E-01,2.23806,2.23806,0.00000,1,277.088,276.412,95793.9,1.20736,1005.21,0.239900E-01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.05988,0.433239,0.140674,1.15361,-0.138503E-13,-0.408334E-14,1.15361,1.96327,310.877,22.2329,7.00418,-9999,0.601831E-01,0.586461E-01,-2.57050,-1.12819,-9999,-0.980334E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.432194E-02,1.01183,7.05851,1.01445,-9999,-9999,-9999,-9999,-9999,-9999,-0.225666E-02,1.14800,800000009,800001109,800000009,800000009,800001109,800001109,899999999,899999999,89999,89999,89,89,0,0,0,4,0,0,0,18000,18000,18000,0,0,0,0,0,0,0,0,0,14800,0,0,0,18000,18000,18000,18000,-9999,0.621422E-01,0.476373E-01,0.751272E-02,0.463592,-9999,-9999,0.500336E-07,0.581594E-02,-9999,-9999,-0.225666E-05,12.0180,96152.3,11.4767,0.00000,0.00000,-9999,0.00000,2.07806,88.8307,1.00008,-273.150,9.00045,-273.150
2023-01-24T173000_AIU-0547.ghg,2023-01-24,18:00,24.7498,0,18000,18000,-0.589523E-02,0,1.42839,1,-9999,-9999,-9999,-9999,-9999,-9999,-0.145402E-03,2,-2.89569,-9999,-9999,-9999,-0.190135E-03,-9999,-9999,-0.319928E-12,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,0,0.936961E-01,2.23525,2.23525,0.00000,1,275.666,274.940,95817.2,1.21413,1005.18,0.238564E-01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.32484,0.677054,0.156808,1.49606,0.707090E-14,-0.341452E-14,1.49606,2.64743,304.978,27.0691,6.01647,-9999,0.696817E-01,0.550144E-01,-20.0037,-0.144973,-9999,-0.167965E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.583622E-02,1.01011,1.40920,1.01362,-9999,-9999,-9999,-9999,-9999,-9999,-0.126638E-03,1.14817,800000009,800001109,800000009,800000009,800001109,800011119,899999999,899999999,89999,89999,89,89,4,2,1,11,0,0,0,18000,18000,18000,0,0,0,0,0,0,0,0,0,17900,0,0,0,18000,18000,18000,18000,-9999,0.477175E-01,0.481678E-01,0.141437E-01,0.102898,-9999,-9999,0.153045E-07,0.115469E-02,-9999,-9999,-0.126638E-06,12.0180,96179.4,11.5400,0.00000,0.00000,-9999,0.00000,2.07300,88.6065,1.00005,-273.150,9.00031,-273.150
2023-01-24T180000_AIU-0547.ghg,2023-01-24,18:30,24.7707,0,18000,18000,-0.100527E-01,0,7.49542,1,-9999,-9999,-9999,-9999,-9999,-9999,-0.359565E-02,1,-1.84122,-9999,-9999,-9999,-0.105752E-03,-9999,-9999,0.672981E-12,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,0,0.939755E-01,2.23369,2.23369,0.00000,0,274.713,274.007,95843.7,1.21860,1005.17,0.237688E-01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.29864,0.659671,0.159631,1.46530,0.255868E-13,0.716124E-14,1.46530,2.49114,307.282,26.9292,6.25425,-9999,0.908264E-01,0.133966,-8.44348,-0.343460,-9999,-0.673727E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.995094E-02,1.01023,7.39438,1.01366,-9999,-9999,-9999,-9999,-9999,-9999,-0.313182E-02,1.14810,800000009,800001109,800000009,800000009,800001109,800001109,899999999,899999999,89999,89999,89,89,2,1,1,25,0,0,0,18000,18000,18000,0,0,0,0,0,0,0,0,0,18000,0,0,0,18000,18000,18000,18000,-9999,0.146198,0.103962,0.177711E-01,0.502145E-01,-9999,-9999,0.208337E-07,0.603673E-02,-9999,-9999,-0.313182E-05,12.0180,96209.6,11.5337,0.00000,0.00000,-9999,0.00000,2.07027,88.5152,1.00004,-273.150,9.00024,-273.150
2023-01-24T183000_AIU-0547.ghg,2023-01-24,19:00,24.7915,0,18000,18000,-0.974550E-02,0,8.57654,0,-9999,-9999,-9999,-9999,-9999,-9999,-0.411108E-02,0,-1.08977,-9999,-9999,-9999,0.170136E-04,-9999,-9999,0.572151E-12,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,0,0.942366E-01,2.23394,2.23394,0.00000,0,274.150,273.456,95906.1,1.22185,1005.16,0.237056E-01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.20411,0.592304,0.168857,1.35248,-0.548125E-13,0.607143E-14,1.35248,2.62876,307.411,26.1927,7.17208,-9999,0.893087E-01,0.106517,-7.01857,-0.413189,-9999,-0.781925E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.964217E-02,1.01072,8.45913,1.01388,-9999,-9999,-9999,-9999,-9999,-9999,-0.358127E-02,1.14794,800000009,800001109,800000009,800000009,800001109,800001109,899999999,899999999,89999,89999,89,89,1,0,0,11,0,0,0,18000,18000,18000,0,0,0,0,0,0,0,0,0,18000,0,0,0,18000,18000,18000,18000,-9999,0.985027E-01,0.942193E-01,0.203112E-01,0.422064E-01,-9999,-9999,0.129669E-07,0.688768E-02,-9999,-9999,-0.358127E-05,12.0180,96274.0,11.5300,0.00000,0.00000,-9999,0.00000,2.07073,88.4475,1.00001,-273.150,9.00008,-273.150
2023-01-24T190000_AIU-0547.ghg,2023-01-24,19:30,24.8123,0,18000,18000,-0.566677E-02,1,5.77848,0,-9999,-9999,-9999,-9999,-9999,-9999,-0.388255E-02,0,-0.870977,-9999,-9999,-9999,0.559350E-04,-9999,-9999,-0.496144E-12,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,0,0.944732E-01,2.23476,2.23476,0.00000,0,273.689,273.017,95957.2,1.22446,1005.16,0.236549E-01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.43966,0.662377,0.163917,1.59319,0.891342E-14,-0.525169E-14,1.59319,2.86023,308.154,24.7067,5.90538,-9999,0.680291E-01,0.125917,-4.60588,-0.629630,-9999,-0.690143E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.561193E-02,1.00977,5.70156,1.01349,-9999,-9999,-9999,-9999,-9999,-9999,-0.338077E-02,1.14842,800000009,800001109,800000009,800000009,800001109,800001109,899999999,899999999,89999,89999,89,89,3,2,0,20,0,0,0,18000,18000,18000,0,0,0,0,0,0,0,0,0,18000,0,0,0,18000,18000,18000,18000,-9999,0.139870,0.888632E-01,0.231016E-01,0.406502E-01,-9999,-9999,0.108334E-07,0.463248E-02,-9999,-9999,-0.338077E-05,12.0180,96328.4,11.4818,0.00000,0.00000,-9999,0.00000,2.07171,88.4831,1.00002,-273.150,9.00015,-273.150
2023-01-24T193000_AIU-0547.ghg,2023-01-24,20:00,24.8332,0,18000,18000,-0.161796E-02,1,7.17815,0,-9999,-9999,-9999,-9999,-9999,-9999,-0.397248E-02,0,-0.255810,-9999,-9999,-9999,0.663914E-04,-9999,-9999,-0.314249E-13,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,0,0.945531E-01,2.23573,2.23573,0.00000,0,273.549,272.888,95951.1,1.22496,1005.16,0.236453E-01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.34320,0.509130,0.156525,1.44496,0.410185E-14,-0.332351E-15,1.44496,2.59970,311.912,20.7588,6.21876,-9999,0.363431E-01,0.108198,-0.565297,-5.13005,-9999,-0.160411,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.160145E-02,1.01031,7.08115,1.01370,-9999,-9999,-9999,-9999,-9999,-9999,-0.346016E-02,1.14806,800000009,800001109,800000009,800000009,800001109,800001109,899999999,899999999,89999,89999,89,89,2,0,0,22,0,0,0,18000,18000,18000,0,0,0,0,0,0,0,0,0,18000,0,0,0,18000,18000,18000,18000,-9999,0.967246E-01,0.100920,0.187516E-01,0.236759E-01,-9999,-9999,0.917549E-08,0.575105E-02,-9999,-9999,-0.346016E-05,12.0180,96323.9,11.4948,0.00000,0.00000,-9999,0.00000,2.07224,88.4717,1.00001,-273.150,9.00006,-273.150
2023-01-24T200000_AIU-0547.ghg,2023-01-24,20:30,24.8540,0,18000,18000,-0.688856E-02,0,9.25073,0,-9999,-9999,-9999,-9999,-9999,-9999,-0.500441E-02,0,-0.231815,-9999,-9999,-9999,0.229636E-04,-9999,-9999,0.276885E-12,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,0,0.946230E-01,2.23607,2.23607,-0.100000,0,273.437,272.771,95966.4,1.22568,1005.15,0.236314E-01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.49068,0.764245,0.182949,1.68513,-0.373283E-13,0.292619E-14,1.68513,3.05047,305.709,27.1434,6.23270,-9999,0.749678E-01,0.123952,-3.85052,-0.753146,-9999,-0.100159,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.682377E-02,1.00949,9.12836,1.01340,-9999,-9999,-9999,-9999,-9999,-9999,-0.435650E-02,1.14872,800000009,800001109,800000009,800000009,800001109,800001109,899999999,899999999,89999,89999,89,89,2,0,0,38,0,0,0,18000,18000,18000,0,0,0,0,0,0,0,0,0,18000,0,0,0,18000,18000,18000,18000,-9999,0.994420E-01,0.126439,0.220237E-01,0.280444E-01,-9999,-9999,0.965060E-08,0.740938E-02,-9999,-9999,-0.435650E-05,12.0180,96341.0,11.5300,0.00000,0.00000,-9999,0.00000,2.07264,88.4486,1.00001,-273.150,9.00006,-273.150
2023-01-24T203000_AIU-0547.ghg,2023-01-24,21:00,24.8748,0,18000,18000,-0.101305E-01,0,8.81713,0,-9999,-9999,-9999,-9999,-9999,-9999,-0.572882E-02,0,0.512884,-9999,-9999,-9999,0.513167E-04,-9999,-9999,-0.285926E-12,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,0,0.945155E-01,2.23682,2.23682,-0.100000,0,273.699,273.030,95916.0,1.22388,1005.16,0.236662E-01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.36727,0.665332,0.163684,1.52935,-0.148118E-13,-0.302517E-14,1.52935,2.84349,308.147,25.9481,6.14405,-9999,0.909802E-01,0.186534,-7.21808,-0.401769,-9999,-0.787786E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.100303E-01,1.00999,8.69909,1.01357,-9999,-9999,-9999,-9999,-9999,-9999,-0.498920E-02,1.14825,800000009,800001109,800000009,800000009,800001109,800001109,899999999,899999999,89999,89999,89,89,1,0,1,16,0,0,0,18000,18000,18000,0,0,0,0,0,0,0,0,0,17800,0,0,0,18000,18000,18000,18000,-9999,0.191593,0.159592,0.218816E-01,0.578226E-01,-9999,-9999,0.120792E-07,0.707133E-02,-9999,-9999,-0.498920E-05,12.0180,96295.1,11.5300,0.00000,0.00000,-9999,0.00000,2.07279,88.4340,1.00001,-273.150,9.00006,-273.150
