file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,storage_fluxes,,,,,vertical_advection_fluxes,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,diagnostic_flags_LI-7200,,,,,,,,,diagnostic_flags_LI-7700,,,,,,,,,,,,,,,,RSSI_LI-7200,variances,,,,,,,covariances,,,,custom_variables,,,,,,,,,,,,,,,,,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,LE,qc_LE,co2_flux,qc_co2_flux,h2o_flux,qc_h2o_flux,ch4_flux,qc_ch4_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,head_detect_LI-7200,t_out_LI-7200,t_in_LI-7200,aux_in_LI-7200,delta_p_LI-7200,chopper_LI-7200,detector_LI-7200,pll_LI-7200,sync_LI-7200,not_ready_LI-7700,no_signal_LI-7700,re_unlocked_LI-7700,bad_temp_LI-7700,laser_temp_unregulated_LI-7700,block_temp_unregulated_LI-7700,motor_spinning_LI-7700,pump_on_LI-7700,top_heater_on_LI-7700,bottom_heater_on_LI-7700,calibrating_LI-7700,motor_failure_LI-7700,bad_aux_tc1_LI-7700,bad_aux_tc2_LI-7700,bad_aux_tc3_LI-7700,box_connected_LI-7700,mean_value_RSSI_LI-7200,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,co2_mean,h2o_mean,air_p_mean,vin_sf_mean,co2_mean,h2o_mean,dew_point_mean,avg_signal_strength_7200_mean,co2_signal_strength_7200_mean,h2o_signal_strength_7200_mean,delta_signal_strength_7200_mean,flowrate_mean,hit_power_mean,hit_vin_mean,ch4_mean,rssi_77_mean,ch4_aux-1_mean,ch4_aux-2_mean,ch4_aux-3_mean,ch4_aux-4_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023-08-07T120053_AIU-0547.ghg,2023-08-07,12:30,219.5207,1,17462,17462,-0.188587,1,39.8811,1,-0.185307,2,5.54116,1,-0.422630E-02,2,0.398359E-01,2,-9999,-9999,-9999,-9999,-9999,-0.189459E-09,-0.150383E-10,-0.102372E-11,14.8870,390.870,403.386,0.100000,0,1181.66,31.0253,32.0187,0.100000,1,0.804409E-01,2.03596,2.10115,0.00000,1,301.395,301.395,94956.0,1.08472,1023.06,0.263890E-01,-0.273864E-03,0.211859E-01,2946.83,3823.15,0.195312E-01,77.0785,876.322,296.952,-0.859347,0.137925E-01,0.147129,0.871960,0.535496E-14,-0.127264E-13,0.871960,3.72120,151.323,179.080,9.71423,-9999,0.416962,0.445939,-153.411,-0.189035E-01,-215.216,-0.861883E-01,0,90.4418,-13.7249,31.0457,77.3083,117.900,165.356,247.734,-0.185923,1.01433,39.6410,1.01589,-0.170613,1.08612,5.10178,1.08612,-0.389118E-02,1.08612,0.244371E-01,1.14920,800000009,800000009,800000009,800000009,800001009,801001019,899999999,899999999,89999,89999,89,89,3,2,0,4,33,0,1,0,0,0,0,0,0,0,0,0,0,2,0,17462,0,0,0,0,17462,0,0,0,17462,17462,17462,17462,73,0.502997,0.270261,0.118620,0.263944,14.7124,0.191861,0.280983E-06,0.357209E-01,0.138943,-0.105973E-03,0.244371E-04,14.8870,1181.71,95357.9,11.3100,390.844,31.0250,23.7968,73.6888,73.9385,73.4390,0.499590,0.291852E-03,-1.00000,0.00000,65.3650,65.8085,1.00003,-273.150,9.00040,-273.150
2023-08-07T123000_AIU-0547.ghg,2023-08-07,13:00,219.5415,1,18000,18000,-0.248785,1,54.1333,1,49.9095,1,8.60413,1,1.13909,1,0.623355E-02,1,1.29406,-0.691200,-0.316027,-0.157754E-01,-0.379481E-04,-0.711879E-10,-0.568010E-11,-0.389499E-12,14.6501,385.436,397.666,0.200000,0,1168.94,30.7540,31.7298,0.800000,0,0.801571E-01,2.03534,2.09992,-0.200000,0,302.120,302.120,94917.0,1.08179,1022.92,0.264634E-01,0.738131E-01,0.209416E-01,2919.86,3987.48,0.193584E-01,73.2257,1067.62,296.800,-1.14365,0.138091,0.122320,1.15843,-0.220494E-13,-0.485920E-14,1.15843,4.99775,157.305,173.115,6.06121,-9999,0.479558,0.688378,-171.890,-0.168713E-01,1.08463,-0.102009,0,90.4379,-13.7243,31.0444,77.3049,117.895,165.349,247.723,-0.245883,1.01180,56.9034,1.01443,45.9462,1.08626,7.92087,1.08626,1.04864,1.08626,-0.132802E-01,1.14799,800000009,800000009,800000009,800000009,800001019,800001019,899999999,899999999,89999,89999,89,89,11,9,0,2,56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18000,0,0,0,0,18000,0,0,0,18000,18000,18000,18000,73,0.858142,0.361690,0.156925,0.280266,8.35493,0.163692,0.759733E-07,0.514227E-01,0.216266,0.286313E-01,-0.132802E-04,14.6503,1169.00,95309.8,11.3100,385.417,30.7537,23.6426,73.7677,74.0322,73.5031,0.529088,0.292892E-03,-1.00000,0.00000,65.1321,67.3403,1.00003,-273.150,9.00037,-273.150
2023-08-07T130000_AIU-0547.ghg,2023-08-07,13:30,219.5624,1,18000,18000,-0.241133,0,54.7295,0,13.8986,2,2.67660,0,0.317315,2,-0.109266E-01,0,0.606702,1.78019,-0.121640,0.406430E-01,-0.308674E-03,0.445657E-10,0.365673E-11,0.244549E-12,14.5436,383.341,395.790,0.100000,1,1193.34,31.4541,32.4756,0.100000,1,0.798065E-01,2.03026,2.09619,-0.200000,0,302.461,302.461,94867.1,1.07971,1023.33,0.265072E-01,0.205620E-01,0.213829E-01,2984.76,4066.74,0.198043E-01,73.3943,1081.98,297.165,-1.03072,-0.104966E-01,0.153060,1.04207,-0.700228E-13,0.306428E-14,1.04207,4.66107,149.575,180.583,8.44620,-9999,0.472579,0.641732,-162.663,-0.178283E-01,3.93778,-0.104815,0,83.6679,-12.6969,28.7205,71.5180,109.070,152.972,229.179,-0.238119,1.01266,55.3156,1.01490,12.7977,1.08602,2.46460,1.08602,0.292182,1.08602,-0.267949E-01,1.14829,800000009,800000009,800000009,800000009,800001019,800001019,899999999,899999999,89999,89999,89,89,15,19,2,12,56,0,2,0,0,0,0,0,0,0,0,0,0,366,0,18000,0,0,0,0,18000,0,0,0,18000,18000,18000,18000,73,0.714828,0.383522,0.185114,0.201885,17.2427,0.252960,0.318332E-06,0.500638E-01,0.674520E-01,0.799652E-02,-0.267949E-04,14.5426,1193.40,95245.3,11.3100,383.293,31.4538,24.0051,73.7659,74.0311,73.5007,0.530380,0.292798E-03,-1.00000,0.00000,64.5538,68.4304,1.00002,-273.150,9.00036,-273.150
2023-08-07T133000_AIU-0547.ghg,2023-08-07,14:00,219.5832,1,18000,18000,-0.193769,1,52.1366,0,70.3244,0,2.19382,0,1.60617,0,0.643014E-02,0,0.696925,2.51759,-0.385505E-01,0.575005E-01,-0.105834E-02,-0.152294E-10,-0.129126E-11,-0.829295E-13,14.4978,382.676,395.508,0.00000,0,1229.23,32.4462,33.5342,0.800000,0,0.789454E-01,2.01282,2.08032,-0.200000,0,302.853,302.853,94831.9,1.07750,1023.92,0.265514E-01,0.104080,0.220206E-01,3077.75,4159.61,0.204367E-01,73.9914,1081.86,297.677,-1.01959,0.471240E-02,0.141188,1.02933,0.257800E-13,-0.105047E-14,1.02933,4.44776,153.860,179.735,7.88386,-9999,0.424066,0.528649,-123.370,-0.235065E-01,0.741372,-0.111436,0,77.8533,-11.8145,26.7245,66.5479,101.490,142.341,213.252,-0.191327,1.01276,56.1681,1.01497,64.7552,1.08601,2.02008,1.08601,1.47897,1.08601,-0.135411E-01,1.14833,800000009,800000009,800000009,800000009,800001019,800001019,899999999,899999999,89999,89999,89,89,13,23,3,1,106,1,8,0,0,0,0,0,0,0,0,0,0,0,0,18000,0,0,0,0,18000,0,0,0,18000,18000,18000,18000,73,0.519640,0.359189,0.178468,0.172457,44.5050,0.290219,0.173466E-06,0.509105E-01,0.554352E-01,0.405861E-01,-0.135411E-04,14.4961,1229.28,95203.9,11.3100,382.611,32.4456,24.5156,73.7223,73.9816,73.4630,0.518553,0.293601E-03,-1.00000,0.00000,64.1429,88.4369,1.00002,-273.150,9.00033,-273.150
2023-08-07T140000_AIU-0547.ghg,2023-08-07,14:30,219.6040,1,18000,18000,-0.237483,1,5.71152,2,51.9179,0,4.13855,0,1.18590,0,0.966568E-02,0,0.189446,1.07655,-0.336864E-01,0.245904E-01,-0.148186E-02,-0.184010E-10,-0.158301E-11,-0.989709E-13,14.4893,382.094,395.080,0.100000,1,1246.49,32.8708,33.9880,0.100000,1,0.779315E-01,1.98837,2.05595,0.00000,1,302.960,302.960,94781.6,1.07638,1024.16,0.265749E-01,0.768464E-01,0.222892E-01,3116.38,4185.19,0.207076E-01,74.4621,1068.81,297.886,-0.964429,0.189777,0.161940,0.996174,-0.650668E-14,-0.126997E-14,0.996174,5.19225,164.414,168.868,9.35561,-9999,0.469714,0.668410,-1529.93,-0.189551E-02,0.110011,-0.110302E-01,0,80.0100,-12.1418,27.4648,68.3913,104.301,146.284,219.160,-0.234423,1.01305,8.83357,1.01513,47.8072,1.08599,3.81087,1.08599,1.09200,1.08599,0.404100E-02,1.14847,800000009,800000009,800000009,800000009,800001019,801101019,899999999,899999999,89999,89999,89,89,14,16,3,7,33,4,1,0,0,0,0,0,0,0,0,0,0,0,0,18000,0,0,0,0,18000,0,0,0,18000,18000,18000,18000,73,0.645816,0.486504,0.204501,0.268981,5.32161,0.209168,0.187392E-06,0.801314E-02,0.104716,0.300065E-01,0.404100E-05,14.4901,1246.56,95163.0,11.2806,382.092,32.8706,24.7266,73.6101,73.8547,73.3654,0.489300,0.293106E-03,-1.00000,0.00000,63.3156,88.6606,1.00003,-273.150,9.00036,-273.150
2023-08-07T143000_AIU-0547.ghg,2023-08-07,15:00,219.6249,1,18000,18000,-0.302901,0,55.0052,0,70.9217,1,1.83461,1,1.62115,1,0.124321E-01,1,1.30627,-0.629158,-0.158469,-0.143815E-01,0.230001E-02,-0.517049E-10,-0.444631E-11,-0.285777E-12,14.3224,379.349,392.141,0.200000,0,1231.64,32.6217,33.7218,0.100000,1,0.791609E-01,2.02642,2.09476,-0.200000,0,303.698,303.698,94734.3,1.07333,1024.03,0.266529E-01,0.105050,0.220555E-01,3091.23,4365.89,0.205487E-01,70.8040,1274.66,297.750,-1.27237,0.564970E-01,0.158974,1.28351,0.373276E-14,-0.361008E-14,1.28351,5.90019,156.638,177.458,7.11486,-9999,0.531232,0.871446,-229.723,-0.126239E-01,0.775576,-0.942046E-01,0,79.2659,-12.0289,27.2094,67.7553,103.331,144.923,217.122,-0.299588,1.01106,59.1266,1.01405,65.2615,1.08673,1.68819,1.08673,1.49177,1.08673,-0.910828E-02,1.14791,800000009,800000009,800000009,800000009,800001019,800001019,899999999,899999999,89999,89999,89,89,10,21,3,4,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18000,0,0,0,0,18000,0,0,0,18000,18000,18000,18000,73,0.956128,0.519008,0.267756,0.128233,1.48217,0.230898,0.477998E-07,0.537942E-01,0.465129E-01,0.411010E-01,-0.910828E-05,14.3232,1231.70,95116.9,11.2831,379.348,32.6215,24.5910,73.8176,74.0882,73.5470,0.541181,0.294508E-03,-1.00000,0.00000,64.3127,89.5491,1.00001,-273.150,9.00028,-273.150
2023-08-07T150000_AIU-0547.ghg,2023-08-07,15:30,219.6457,1,18000,18000,-0.155187,1,39.3720,0,49.7012,0,0.422402,1,1.13561,0,0.164118E-01,2,-0.758412,-0.267643,-0.386367E-01,-0.611531E-02,-0.464040E-03,0.440327E-10,0.378093E-11,0.242896E-12,14.3249,378.681,391.408,0.100000,1,1230.03,32.5160,33.6088,0.100000,1,0.790199E-01,2.01876,2.08661,0.00000,1,303.270,303.270,94753.0,1.07510,1023.96,0.266101E-01,0.735875E-01,0.220194E-01,3081.81,4260.34,0.204813E-01,72.3373,1178.52,297.699,-0.780318,0.135429,0.151755,0.806391,0.123227E-13,0.307386E-14,0.806391,4.31552,164.496,170.154,10.8472,-9999,0.379930,0.457256,-117.416,-0.246985E-01,0.792175,-0.941350E-01,0,70.6450,-10.7207,24.2502,60.3863,92.0929,129.162,193.508,-0.152870,1.01516,42.1604,1.01640,45.7505,1.08635,0.388826,1.08635,1.04534,1.08635,0.413541E-03,1.14977,800000009,800000009,800000009,800000009,800000019,800100019,899999999,899999999,89999,89999,89,89,23,22,4,5,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18000,0,0,0,0,18000,0,0,0,18000,18000,18000,18000,73,0.396570,0.335303,0.182638,0.937723E-01,1.64594,0.165152,0.151344E-06,0.382976E-01,0.106945E-01,0.287518E-01,0.413541E-06,14.3257,1230.09,95126.2,11.2900,378.681,32.5158,24.5387,73.7709,74.0365,73.5054,0.531040,0.293982E-03,-1.00000,0.00000,64.1993,88.8251,1.00001,-273.150,9.00023,-273.150
2023-08-07T153000_AIU-0547.ghg,2023-08-07,16:00,219.6665,1,18000,18000,-0.187917,0,36.4995,0,77.1299,0,5.32316,0,1.76155,0,0.190118E-01,2,-0.799249,0.175456,0.179924,0.400718E-02,-0.981484E-03,-0.906392E-10,-0.773593E-11,-0.492065E-12,14.4672,381.789,394.649,0.100000,1,1234.75,32.5852,33.6828,0.100000,1,0.785397E-01,2.00256,2.07001,0.00000,1,302.820,302.820,94696.7,1.07603,1023.99,0.265864E-01,0.114148,0.220859E-01,3086.54,4151.60,0.205254E-01,74.3457,1065.06,297.725,-0.971259,0.737971E-01,0.145535,0.984871,-0.841773E-14,-0.626517E-14,0.984871,4.71987,158.685,175.655,8.49777,-9999,0.417899,0.531784,-168.481,-0.172127E-01,0.473221,-0.792671E-01,0,82.0602,-12.4530,28.1686,70.1438,106.974,150.032,224.776,-0.185478,1.01315,41.0050,1.01519,71.0231,1.08598,4.90170,1.08598,1.62208,1.08598,0.207525E-02,1.14852,800000009,800000009,800000009,800000009,800001019,800001019,899999999,899999999,89999,89999,89,89,11,18,3,0,41,0,7,0,0,0,0,0,0,0,0,0,0,0,0,18000,0,0,0,0,18000,0,0,0,18000,18000,18000,18000,73,0.616311,0.295307,0.151949,0.674275E-01,10.8272,0.224277,0.109873E-06,0.372148E-01,0.134709,0.445781E-01,0.207525E-05,14.4679,1234.82,95071.2,11.2319,381.786,32.5850,24.5643,73.6471,73.8962,73.3980,0.498225,0.293543E-03,-1.00000,0.00000,63.8058,89.0186,1.00002,-273.150,9.00033,-273.150
2023-08-07T160000_AIU-0547.ghg,2023-08-07,16:30,219.6873,1,18000,18000,-0.240340,0,38.8802,0,64.7925,0,2.78831,1,1.47948,0,-0.707557E-02,1,-0.369268,-0.643535,-0.179131,-0.146945E-01,-0.142848E-03,-0.574527E-10,-0.490507E-11,-0.314308E-12,14.3545,378.697,391.350,0.100000,1,1225.53,32.3315,33.4118,0.100000,1,0.785296E-01,2.00021,2.06704,-0.200000,0,302.612,302.612,94697.7,1.07688,1023.84,0.265679E-01,0.958702E-01,0.219293E-01,3062.54,4102.22,0.203636E-01,74.6557,1039.68,297.594,-1.21474,-0.767558E-01,0.152386,1.22667,-0.241397E-13,-0.400242E-14,1.22667,6.07084,151.926,183.616,7.13617,-9999,0.472420,0.675090,-228.486,-0.126922E-01,0.600072,-0.746445E-01,0,83.9370,-12.7378,28.8129,71.7481,109.420,153.464,229.916,-0.237636,1.01138,42.6559,1.01421,59.6345,1.08649,2.56634,1.08649,1.36170,1.08649,-0.215590E-01,1.14792,800000009,800000009,800000009,800000009,800000009,800001009,899999999,899999999,89999,89999,89,89,31,29,6,3,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18000,0,0,0,0,18000,0,0,0,18000,18000,18000,18000,73,0.760045,0.406624,0.183510,0.603094E-01,3.74060,0.183420,0.659732E-07,0.386880E-01,0.704608E-01,0.373866E-01,-0.215590E-04,14.3553,1225.59,95073.9,11.2000,378.696,32.3313,24.4344,73.6477,73.8959,73.3995,0.496397,0.293071E-03,-1.00000,0.00000,63.7981,87.4567,1.00002,-273.150,9.00033,-273.150
2023-08-07T163000_AIU-0547.ghg,2023-08-07,17:00,219.7082,1,18000,18000,-0.218441,0,49.8140,0,29.1359,0,0.487637,2,0.665382,0,-0.355995E-02,0,0.245651,0.525896,-0.116669,0.120100E-01,0.863192E-03,0.261546E-10,0.225931E-11,0.144858E-12,14.2700,376.682,389.352,0.100000,1,1232.68,32.5389,33.6333,0.100000,1,0.790349E-01,2.01444,2.08220,-0.200000,0,302.750,302.750,94729.6,1.07667,1023.97,0.265711E-01,0.431167E-01,0.220673E-01,3083.22,4135.02,0.204959E-01,74.5637,1051.79,297.707,-1.47040,-0.951636E-01,0.125442,1.47881,0.242355E-13,0.183284E-14,1.47881,6.34484,148.179,183.703,4.86606,-9999,0.450429,0.697400,-154.615,-0.187562E-01,1.70971,-0.100313,0,79.9339,-12.1303,27.4387,68.3263,104.202,146.145,218.951,-0.216241,1.01018,51.4237,1.01364,26.7842,1.08780,0.448278,1.08780,0.611676,1.08780,-0.194934E-01,1.14813,800000009,800000009,800000009,800000009,800000009,800100009,899999999,899999999,89999,89999,89,89,14,10,6,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,18000,0,0,0,0,18000,0,0,0,18000,18000,18000,18000,73,0.787739,0.418560,0.188500,0.162105,4.39321,0.104123,0.369198E-06,0.466440E-01,0.123119E-01,0.167997E-01,-0.194934E-04,14.2710,1232.75,95115.2,11.2000,376.682,32.5388,24.5490,73.6623,73.9116,73.4130,0.498597,0.293758E-03,-1.00000,0.00000,64.2096,88.5489,1.00001,-273.150,9.00031,-273.150
2023-08-07T170000_AIU-0547.ghg,2023-08-07,17:30,219.7290,1,18000,18000,-0.239949,0,39.0263,0,35.8551,1,-1.19701,0,0.819105,1,0.178097E-03,1,0.611981,-0.706762,-0.792037E-02,-0.161459E-01,0.107925E-02,-0.785207E-11,-0.672708E-12,-0.439643E-13,14.2192,376.545,389.098,0.100000,1,1218.20,32.2596,33.3350,0.100000,1,0.796144E-01,2.03227,2.10002,-0.200000,0,303.095,303.095,94682.2,1.07502,1023.81,0.266147E-01,0.530780E-01,0.218420E-01,3055.23,4217.86,0.203178E-01,72.4356,1162.63,297.554,-1.28846,0.228452E-02,0.147063,1.29682,-0.527095E-13,-0.552215E-15,1.29682,5.25036,154.440,179.898,6.51148,-9999,0.472446,0.764861,-227.639,-0.127395E-01,1.08845,-0.750534E-01,0,79.4965,-12.0639,27.2886,67.9524,103.632,145.345,217.753,-0.237341,1.01099,41.0620,1.01401,32.9917,1.08679,-1.10142,1.08679,0.753692,1.08679,-0.134860E-01,1.14791,800000009,800000009,800000009,800000009,800000019,801101019,899999999,899999999,89999,89999,89,89,20,32,6,2,30,1,4,0,0,0,0,0,0,0,0,0,0,0,0,18000,0,0,0,0,18000,0,0,0,18000,18000,18000,18000,73,0.786352,0.533127,0.210243,0.124142,1.42939,0.239565,0.644250E-07,0.373082E-01,-0.302913E-01,0.207281E-01,-0.134860E-04,14.2201,1218.25,95057.1,11.2125,376.545,32.2594,24.3939,73.8386,74.1087,73.5686,0.540109,0.294574E-03,-1.00000,0.00000,64.6781,88.5770,1.00001,-273.150,9.00027,-273.150
2023-08-07T173000_AIU-0547.ghg,2023-08-07,18:00,219.7498,1,18000,18000,-0.235680,0,21.9964,0,63.0539,0,2.08598,1,1.43997,0,0.309676E-02,1,-0.617129,-3.22576,-0.862726E-01,-0.736670E-01,-0.114157E-02,-0.991188E-10,-0.818917E-11,-0.551474E-12,14.2064,375.055,387.049,0.100000,1,1173.73,30.9870,31.9779,0.100000,1,0.790413E-01,2.01343,2.07782,-0.100000,0,302.748,302.748,94675.7,1.07670,1023.07,0.265860E-01,0.933099E-01,0.210030E-01,2934.50,4134.40,0.195068E-01,70.9777,1199.90,296.883,-1.22057,0.771607E-01,0.150011,1.23217,-0.721379E-14,-0.697704E-14,1.23217,5.12983,159.678,176.383,6.99281,-9999,0.467857,0.687864,-392.114,-0.739581E-02,0.348851,-0.426814E-01,0,83.1827,-12.6233,28.5539,71.1034,108.437,152.085,227.850,-0.233036,1.01135,25.7170,1.01419,58.0332,1.08651,1.91989,1.08651,1.32531,1.08651,-0.739041E-02,1.14792,800000009,800000009,800000009,800000009,800000019,800001019,899999999,899999999,89999,89999,89,89,13,11,0,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,0,0,0,0,18000,0,0,0,18000,18000,18000,18000,73,0.725934,0.465703,0.184090,0.634921E-01,4.04265,0.588047,0.460301E-07,0.233464E-01,0.526747E-01,0.363617E-01,-0.739041E-05,14.2072,1173.78,95052.3,11.2400,375.053,30.9865,23.7201,73.7968,74.0624,73.5311,0.531327,0.293373E-03,-1.00000,0.00000,64.2111,88.6342,1.00002,-273.150,9.00036,-273.150
2023-08-07T180000_AIU-0547.ghg,2023-08-07,18:30,219.7707,1,18000,18000,-0.321169,1,1.79347,2,-26.2958,2,1.44942,1,-0.600126,2,-0.306619E-01,1,-1.19779,-9.58902,0.713216E-01,-0.218842,-0.225264E-02,0.155378E-09,0.112374E-10,0.847747E-12,14.2851,376.285,386.811,0.100000,0,1033.14,27.2140,27.9754,0.100000,1,0.779402E-01,1.97634,2.03163,-0.200000,0,302.074,302.074,94659.7,1.08048,1020.88,0.265312E-01,-0.388882E-01,0.184837E-01,2576.76,3976.70,0.171069E-01,64.7965,1399.94,294.740,-1.35126,-0.404900,0.207917,1.42586,0.102256E-13,0.108769E-13,1.42586,6.63852,138.431,196.681,8.38468,-9999,0.545203,1.02589,-7604.12,-0.381372E-03,-0.682038E-01,-0.298225E-02,0,79.8470,-12.1171,27.4089,68.2520,104.089,145.986,218.713,-0.317867,1.01039,0.206989,1.01373,-24.1806,1.08748,1.33283,1.08748,-0.551852,1.08748,-0.269047E-01,1.14803,800000009,800000009,800000009,800000009,800000009,800101019,899999999,899999999,89999,89999,89,89,21,35,9,13,29,0,7,0,0,0,0,0,0,0,0,0,0,0,0,18000,0,0,0,0,18000,0,0,0,18000,18000,18000,18000,73,0.824207,0.950646,0.276921,0.161806,2.62316,2.48052,0.280935E-06,0.187653E-03,0.363512E-01,-0.150510E-01,-0.269047E-04,14.2860,1033.09,95031.4,11.2335,376.284,27.2119,21.5591,73.9981,74.2881,73.7081,0.580013,0.292773E-03,-1.00000,0.00000,63.3175,88.6211,1.00003,-273.150,9.00038,-273.150
