"Sample ID","Type","WL750.0","WL665.0","WL664.0","WL663.0","WL647.0","WL630.0","WL490.0","WL384.0","Comments"
"blnk_b","Unknown",0.000,0.000,0.000,-0.000,0.000,0.000,0.000,0.000,""
"blnk_a","Unknown",0.001,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,""
"ref_b","Unknown",0.003,0.068,0.067,0.066,0.027,0.017,0.032,0.108,""
"ref_a","Unknown",0.004,0.051,0.050,0.049,0.021,0.012,0.029,0.107,""
"2b","Unknown",0.010,0.283,0.284,0.282,0.104,0.075,0.106,0.330,""
"2a","Unknown",0.009,0.175,0.172,0.168,0.062,0.035,0.101,0.383,""
"4b","Unknown",0.009,0.272,0.273,0.272,0.104,0.071,0.101,0.318,""
"4a","Unknown",0.010,0.172,0.170,0.166,0.065,0.036,0.099,0.372,""
"10b","Unknown",0.003,0.004,0.004,0.004,0.003,0.003,0.004,0.005,""
"10a","Unknown",0.003,0.004,0.004,0.004,0.003,0.003,0.004,0.006,""
"18b","Unknown",0.007,0.134,0.135,0.133,0.052,0.039,0.075,0.190,""
"18a","Unknown",0.007,0.086,0.085,0.083,0.033,0.021,0.069,0.209,""
"17b","Unknown",0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,""
"17a","Unknown",0.002,0.001,0.001,0.001,0.001,0.000,0.001,0.001,""
"21b","Unknown",0.005,0.065,0.065,0.064,0.027,0.020,0.035,0.091,""
"21a","Unknown",0.005,0.042,0.041,0.041,0.018,0.012,0.032,0.099,""
"16b","Unknown",0.009,0.096,0.096,0.095,0.041,0.033,0.056,0.141,""
"16a","Unknown",0.009,0.062,0.062,0.060,0.028,0.020,0.052,0.153,""
"5b","Unknown",0.010,0.446,0.445,0.439,0.161,0.109,0.316,0.505,""
"23b","Unknown",0.005,0.072,0.072,0.071,0.030,0.022,0.038,0.101,""
"23a","Unknown",0.006,0.048,0.047,0.046,0.021,0.013,0.036,0.112,""
"22b","Unknown",0.005,0.076,0.076,0.075,0.029,0.024,0.056,0.120,""
"22a","Unknown",0.005,0.052,0.051,0.050,0.020,0.013,0.052,0.130,""
"11b","Unknown",0.003,0.145,0.144,0.142,0.048,0.034,0.124,0.173,""
"11a","Unknown",0.004,0.089,0.088,0.085,0.029,0.016,0.115,0.198,""
"8b","Unknown",0.003,0.096,0.096,0.094,0.033,0.025,0.064,0.125,""
"8a","Unknown",0.003,0.061,0.060,0.059,0.021,0.012,0.060,0.140,""
"12b","Unknown",0.007,0.343,0.345,0.342,0.126,0.085,0.123,0.402,""
"12a","Unknown",0.007,0.212,0.210,0.205,0.075,0.040,0.120,0.466,""
"13b","Unknown",0.006,0.321,0.323,0.321,0.116,0.079,0.102,0.366,""
"13a","Unknown",0.007,0.198,0.196,0.192,0.070,0.037,0.102,0.436,""
